"variable","node_index"
"naloxone_take_home_sod",1
"breakdown_rse",2
"bereavement_rse",3
"illhealth_rse",5
"relapse_rse",6
"homeless_rse",7
"prison_rse",8
"alcohol_use_problem",9
"alcohol_brief_interventions_aa",10
"community_based_psychosocial_therapy_aa",11
"no_known_treatment_aa",13
"pharmacotherapy_and_community_based_detoxification_aa",14
"self_help_individual_and_group_based_aa",15
"vitamin_supplements_aa",16
"a_e_cha",17
"addiction_psychology_cha",18
"gp_cha",19
"needle_exchange_cha",21
"prison_healthcare_cha",22
"psychiatric_services_cha",23
"residential_rehab_cha",24
"voluntary_sector_cha",26
"alcohol_services_chnd",27
"homeless_services_chnd",28
"housing_chnd",29
"mental_health_services_chnd",30
"no_known_contact_chnd",31
"methadone_cp",32
"not_currently_prescribed_a_substitute_drug_cp",33
"alcohol_consumption_edu",35
"injecting_edu",37
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",38
"oral_consumption_edu",39
"smoking_edu",40
"snorting_edu",41
"employed_paid_unpaid_es",42
"long_term_sick_disabled_es",43
"retired_es",44
"unemployed_es",45
"amphetamines_idu",46
"buprenorphine_idu",47
"cannabis_idu",48
"cocaine_idu",49
"crack_cocaine_idu",50
"diazepam_non_prescribed_idu",51
"ecstasy_mdma_idu",53
"gabapentin_idu",54
"heroin_idu",55
"legal_highs_new_psychoactive_substances_idu",56
"methadone_non_prescribed_idu",57
"no_fixed_abode_lw",61
"back_pain_injury_mc",70
"cardiac_condition_mc",71
"no_known_medical_conditions_mc",79
"a_dhd_add_pc",91
"anxiety_pc",92
"depression_low_mood_pc",94
"no_known_psychiatric_conditions_pc",96
"others_home_pdu",100
"outdoors_pdu",101
"own_home_pdu",102
"public_place_indoors_pdu",103
"alcohol_td",104
"alprazolam_td",105
"amphetamines_td",107
"anti_depressants_td",108
"buprenorphine_td",110
"cannabis_td",111
"codeine_td",113
"diazepam_td",114
"etizolam_td",116
"gabapentin_td",118
"heroin_morphine_td",119
"nordiazepam_td",122
"pregabalin_td",126
"R945_ABNORMAL.RESULTS.OF.LIVER.FUNCTION.STUDIES",150
"F1025_ALCOHOL.DEPENDENCE.SYNDROME..CONTINUOUS.USE",251
"K760_FATTY..CHANGE.OF..LIVER..NOT.ELSEWHERE.CLASSIFIED",253
"I10X_ESSENTIAL..PRIMARY..HYPERTENSION",254
"R410_DISORIENTATION..UNSPECIFIED",260
"PARACET_CAP.500MG",338
"DICLOFENAC.SOD_TAB.E.C.25MG",360
"FUCIBET_CRM",437
"anniversary_rse",490
"other_nps_td",491
"social_work_offender_services_cha",492
"supported_accomodation_cha",493
"temazepam_non_prescribed_idu",495
"social_work_chnd",496
"methadone_td",499
"cocaine_td",500
"volatile_substances_idu",502
"arthritis_mc",503
"paracetamol_td",504
"dihydrocodeine_td",505
"prison_lw",506
"hiv_aids_mc",510
"liver_disease_mc",511
"skin_condition_mc",513
"personality_disorder_pc",519
"post_traumatic_stress_disorder_pc",520
"psychotic_episode_pc",522
"phenazepam_td",526
"F110_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.OPIOIDS",563
"PROCHLPZINE.MAL_TAB.BUCCAL.3MG",617
"MOVICOL_PDR.SACH.13.8G..LEM...LIM.",625
"DOSULEPIN.HCL_TAB.75MG",630
"NITRAZEPAM_TAB.5MG",653
"DERBAC.M_LIQ.0.5.",669
"CLOBET.BUT_OINT.0.05.",684
"AEROCHAMBER.PLUS",715
