"condition","value"
"naloxone_take_home_sod",1
"breakdown_rse",2
"bereavement_rse",3
"illhealth_rse",4
"relapse_rse",5
"homeless_rse",6
"a_e_cha",10
"gp_cha",11
"psychiatric_services_cha",13
"specialist_drug_service_non_statutory_cha",14
"statutory_addiction_service_cha",15
"voluntary_sector_cha",16
"employability_services_chnd",18
"homeless_services_chnd",19
"housing_chnd",20
"alcohol_consumption_edu",26
"smoking_edu",30
"amphetamines_idu",35
"cannabis_idu",36
"crack_cocaine_idu",38
"diazepam_non_prescribed_idu",39
"dihydrocodeine_idu",40
"ecstasy_mdma_idu",41
"gabapentin_idu",42
"heroin_idu",43
"legal_highs_new_psychoactive_substances_idu",44
"methadone_non_prescribed_idu",45
"temazepam_non_prescribed_idu",46
"volatile_substances_idu",47
"arthritis_mc",55
"back_pain_injury_mc",56
"cardiac_condition_mc",57
"dvt_mc",58
"epilepsy_seizures_mc",59
"hepatitis_c_mc",60
"liver_disease_mc",61
"skin_condition_mc",64
"stomach_problems_gastritis_mc",65
"diazepam_op",66
"anxiety_pc",68
"personality_disorder_pc",71
"alcohol_td",75
"alprazolam_td",76
"amitriptyline_td",77
"anti_depressants_td",78
"cannabis_td",79
"diclazepam_td",84
"dihydrocodeine_td",85
"etizolam_td",86
"gabapentin_td",88
"paracetamol_td",94
"pregabalin_td",95
"tramadol_td",97
"F111_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.OPIOIDS",98
"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",99
"F329_DEPRESSIVE.EPISODE..UNSPECIFIED",100
"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME",104
"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION",105
"L031_CELLULITIS.OF.OTHER.PARTS.OF.LIMB",106
"T391_POISONING.BY.4.AMINOPHENOL.DERIVATIVES",109
"T402_POISONING.BY.OTHER.OPIOIDS",110
"T510_TOXIC.EFFECT.OF.ETHANOL",111
"Z915_PERSONAL.HISTORY.OF.SELF.HARM",112
"F171_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.TOBACCO",116
"Z864_PERSONAL.HISTORY.OF.PSYCHOACTIVE.SUBSTANCE.ABUSE",117
"AMITRIPTYLINE.HCL_TAB.50MG",119
"AMOXICILLIN_CAP.500MG",120
"CETIRIZINE.HCL_TAB.10MG",121
"CLOTRIMAZOLE_CRM.1.",122
"DIAZEPAM_TAB.5MG",124
"DICLOFENAC.SOD_TAB.E.C.50MG",125
"DIHYDROCODEINE.TART_TAB.30MG",126
"ERYTHROMYCIN_TAB.E.C.250MG",127
"FLUCLOX.SOD_CAP.500MG",128
"GABAPENTIN_CAP.300MG",130
"IBUPROFEN_TAB.400MG",131
"LOPERAMIDE.HCL_CAP.2MG",132
"METRONIDAZOLE_TAB.400MG",133
"OMEPRAZOLE_CAP.E.C.20MG",137
"PARACET_TAB.500MG",138
"PREDNISOLONE_TAB.5MG",139
"TRAMADOL.HCL_CAP.50MG",142
"ZOPICLONE_TAB.7.5MG",143
"CITALOPRAM.HYDROB_TAB.10MG",145
"CO.DYDRAMOL_TAB.10MG.500MG",146
"NAPROXEN_TAB.500MG",148
"TRIMETHOPRIM_TAB.200MG",149
"ACAMPROSATE.CALC_TAB.E.C.333MG",150
"CO.CODAMOL_TAB.30MG.500MG",151
"METHADONE.HCL_MIX.1MG.1ML",152
"FLUCLOX.SOD_CAP.250MG",154
"SIMPLE_LINCT.S.F",157
"TRAZODONE.HCL_CAP.50MG",158
"CO.CODAMOL_TAB.8MG.500MG",160
"FOLIC.ACID_TAB.5MG",161
"PROPRANOLOL.HCL_TAB.40MG",162
"CO.AMOXICLAV_TAB.500MG.125MG",164
"SUBOXONE_TAB.SUBLING.8MG.2MG",165
"QUETIAPINE_TAB.25MG",166
"ZOPICLONE_TAB.3.75MG",167
"CHLORDIAZEPOX.HCL_CAP.10MG",168
"CO.AMOXICLAV_TAB.250MG.125MG",169
"HYDROCORT_CRM.1.",170
"LANSOPRAZOLE_CAP.30MG..E.C.GRAN.",171
"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG",172
"AMOXICILLIN_CAP.250MG",173
"CLARITHROMYCIN_TAB.500MG",174
"METOCLOPRAMIDE.HCL_TAB.10MG",175
"PEPTAC_LIQ..ANISEED..S.F",176
"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F",177
"IBUPROFEN_TAB.200MG",178
"DIAZEPAM_TAB.10MG",179
"DIPROBASE_CRM",180
"TEMAZEPAM_TAB.10MG",181
