"variable","node_index"
"mental_health_services_chnd",3
"no_known_contact_chnd",4
"injecting_edu",6
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",7
"employed_paid_unpaid_es",8
"long_term_sick_disabled_es",9
"with_friends_lww",14
"no_known_medical_conditions_mc",16
"depression_low_mood_pc",18
"no_known_psychiatric_conditions_pc",19
"others_home_pdu",20
"social_work_chnd",41
"not_currently_prescribed_a_substitute_drug_cp",42
"oral_consumption_edu",44
"snorting_edu",45
"unemployed_es",46
"respiratory_condition_including_copd_mc",51
"schizophrenia_pc",53
