"condition","value"
"jobloss_rse",5
"assaulted_rse",9
"arrested_rse",10
"ill_fam_rse",13
"debt_rse",14
"arrest_referral_cha",26
"community_rehabilitation_cha",27
"completed_detox_cha",28
"drug_crisis_centre_cha",29
"dtto_cha",30
"enhanced_addiction_casework_services_eacs_cha",31
"harm_reduction_team_cha",33
"probation_cha",38
"social_work_services_cha",42
"specialist_drug_service_non_statutory_cha",43
"throughcare_addiction_services_tas_cha",46
"employability_services_chnd",49
"eating_disorder_underweight_mc",103
"kidney_problems_mc",107
"learning_disability_mc",108
"obesity_mc",112
"sensory_impairment_mc",115
"citalopram_op",119
"zopiclone_op",127
"agoraphobia_pc",129
"obsessive_compulsive_disorder_pc",135
"benzo_td",153
"diclazepam_td",160
"endogenous_substance_td",163
"fentanyl_td",165
"nortriptyline_td",173
"other_opioids_td",177
"valporic_acide_td",188
"E876_HYPOKALAEMIA",198
"K297_GASTRITIS..UNSPECIFIED",203
"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",216
"F1122_OPIOIDS.DEPENDENCE.SYNDR.CONTROLLED.DEPENDENCE",218
"K920_HAEMATEMESIS",224
"R042_HAEMOPTYSIS",226
"Z036_OBSERVATION.FOR.SUSPECTED.TOXIC.EFFECT.FROM.INGESTED.SUBSTANCE",254
"Z722_DRUG.USE",258
"K292_ALCOHOLIC.GASTRITIS",260
"B956_STAPH.AUREUS.AS.THE.CAUSE.OF.DISEASES.CLASSIFIED.TO.OTHER.CHAPTERS",265
"F132_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.SEDATIVES.HYPNOTICS",266
"S018_OPEN.WOUND.OF.OTHER.PARTS.OF.HEAD",274
"F192_MENTAL.BEHAV.DISORDERS.DUE.TO.DEPNDENT.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",292
"R53X_MALAISE.AND.FATIGUE",299
"Z048_EXAMINATION.AND.OBSERVATION.FOR.OTHER.SPECIFIED.REASONS",300
"F430_ACUTE.STRESS.REACTION",301
"Z538_PROCEDURE.NOT.CARRIED.OUT.FOR.OTHER.REASONS",303
"O049_MEDICAL.ABORTION..COMPLETE.OR.UNSPECIFIED..WITHOUT.COMPLICATION",309
"Y044_ASSAULT.BY.BODILY.FORCE.IN.ROAD",315
"K922_GASTROINTESTINAL.HAEMORRHAGE..UNSPECIFIED",321
"Z032_OBSERVATION.FOR.SUSPECTED.MENTAL.AND.BEHAVIOURAL.DISORDERS",324
"K029_DENTAL.CARIES..UNSPECIFIED",330
"F131_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.SEDATIVES.OR.HYPNOTICS",339
"Z865_PERSONAL.HISTORY.OF.OTHER.MENTAL.AND.BEHAVIOURAL.DISORDERS",346
"Z911_PERSONAL.HISTORY.OF.NONCOMPLIANCE.WITH.MEDICAL.TREATMENT.AND.REGIMEN",347
"S0240_CLOSED.FRACTURE.OF.MALAR.AND.MAXILLARY.BONES",353
"W190_UNSPECIFIED.FALL.AT.HOME",356
"Z721_ALCOHOL.USE",357
"B968_OTHER.SPEC.BACTERIA.AS.THE.CAUSE.OF.DISEASES.CLASSIFIED.TO.OTHER.CHAPTERS",359
"Z991_DEPENDENCE.ON.RESPIRATOR",363
"T447_POISONING.BY.B.ADRENORECEPTOR.ANTAGONISTS..NEC",364
"F199_MENTAL.BEHAV.DISORDERS.DUE.TO.MULTIPLE.DRUG.PSYCHOACTIVE.SUBSTANCE.USE",365
"F1125_OPIOIDS.DEPENDENCE.SYNDROME..CONTINUOUS.USE",367
"F419_ANXIETY.DISORDER..UNSPECIFIED",371
"S0220_CLOSED.FRACTURE.OF.NASAL.BONES",372
"F1024_ALCOHOL.DEPENDENCE.SYNDROME.CURRENT.USER..ACTIVE.DEPENDENCE.",374
"Z880_PERSONAL.HISTORY.OF.ALLERGY.TO.PENICILLIN",376
"F141_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.COCAINE",387
"L033_CELLULITIS.OF.TRUNK",397
"R33X_RETENTION.OF.URINE",402
"F190_ACUTE.INTOX.DUE.TO.MULTIPLE.DRUG.USE.AND.USE.OF.PSYCHOACTIVE.SUBSTANCES",403
"Z503_DRUG.REHABILITATION",404
"K802_CALCULUS.OF.GALLBLADDER.WITHOUT.CHOLECYSTITIS",413
"M5459_LOW.BACK.PAIN..SITE.UNSPECIFIED.",414
"F113_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.OPIOIDS",419
"F29X_UNSPECIFIED.NONORGANIC.PSYCHOSIS",428
"R402_COMA..UNSPECIFIED",430
"F432_ADJUSTMENT.DISORDERS",435
"R000_TACHYCARDIA..UNSPECIFIED",436
"F1124_OPIOIDS.DEPENDENCE.SYNDR.CURRENT.USER..ACTIVE.DEPENDENCE.",441
"R268_OTHER.AND.UNSPECIFIED.ABNORMALITIES.OF.GAIT.AND.MOBILITY",442
"CERAZETTE_TAB.75MCG",450
"CLARITHROMYCIN_TAB.250MG",457
"DAKTACORT_OINT",459
"DIMETICONE_LOT.4.",466
"FUCIDIN_CRM.20MG.G",472
"FUSIDIC.ACID_CRM.2.",473
"KETOPROFEN_GEL.2.5.",480
"LOPERAMIDE.HCL_TAB.2MG",482
"MALATHION_AQ.LOT.0.5.",484
"MIGRALEVE.COMPLETE_TAB",489
"NASEPTIN_CRM",493
"PIROXICAM_GEL.0.5.",503
"TRIMOVATE_CRM",511
"AQ_CRM",513
"BECLOMET.DIPROP_NSL.SPY.50MCG..200.D.",518
"BUCCASTEM_TAB.3MG",519
"DAKTARIN_OROMUCOSAL.GEL.20MG.G.S.F",522
"NAPROXEN_TAB.500MG",524
"PROCHLPZINE.MAL_TAB.5MG",525
"ATARAX_TAB.25MG",529
"OILATUM_EMOLLIENT",535
"POLYTAR_LIQ",537
"FUCIDIN_CRM.2.",545
"ORAMORPH_ORAL.SOLN.10MG.5ML",550
"KETOCONAZOLE_SHAMPOO.2.",561
"ALMOND.OIL_LIQ",564
"MOVELAT_GEL",568
"PAROXETINE.HCL_TAB.20MG",569
"FUCITHALMIC_VISCOUS.EYE.DPS.1.",579
"TERBINAFINE.HCL_TAB.250MG",583
"CERUMOL_EAR.DPS",587
"DIORALYTE_PDR.SACH..BLKCURRANT.",589
"MEROCAINE_LOZ",592
"PROPRANOLOL.HCL_TAB.10MG",597
"PROCTOSEDYL_OINT",604
"BETNOVATE_SCALP.APPLIC.0.1.",607
"FUCIDIN.H_CRM",614
"HYDROXOCOBALAMIN_INJ.1MG.ML.1ML.AMP",616
"THIAMINE.HCL_TAB.50MG",624
"AMOXICILLIN_CAP.250MG",635
"ANHYDROL.FTE_A.PERS.SOLN.20.",636
"METOCLOPRAMIDE.HCL_TAB.10MG",647
"MOMETASONE.FUR_CRM.0.1.",648
"NAPROXEN_TAB.E.C.500MG",649
"BECONASE_AQ.NSL.SPY.50MCG..200.D..22G",664
"LAXIDO_ORAL.PDR.SACH..ORANGE..S.F",670
"LEVONELLE_TAB.1.5MG",671
"LOCORTEN.VIOFORM_EAR.DPS",672
"RANITIDINE.HCL_TAB.150MG",677
"BLISTEX_RELIEF.CRM",682
"RANITIDINE.HCL_TAB.300MG",707
"ERYTHROMYCIN_CAP.E.C.250MG",709
"QUININE.SULF_TAB.300MG",717
"SUDAFED_DECONGEST.TAB.60MG",724
"AMOROLFINE.HCL_NAIL.LACQUER.KIT.5..5ML",733
"MENTHOL_.S.",736
"CLOBET.BUT_CRM.0.05.",741
"BACLOFEN_TAB.10MG",742
"BETNOVATE_CRM.0.1.",743
"OPTICROM_ALLERGY.EYE.DPS.2.",746
"ZACIN_CRM.0.025.",751
"FRAGMIN_INJ.25.000U.ML.0.5ML.PFS",754
"ANBESOL_LIQ",755
"METHOCARBAMOL_TAB.750MG",768
"NAPROXEN_TAB.E.C.250MG",769
"BETAMETH.VAL_CRM.0.1.",773
"DOUBLEBASE_GEL",777
"MOVICOL.PLAIN_PDR.SACH.13.7G",780
"CETRABEN_EMOLLIENT.CRM..DRUG.",792
"E45_ITCH.RELIEF.CRM",793
"DERMOL.200_SHOWER.EMOLLIENT",796
"GAVISCON.ADVANCE_TAB.CHBLE.500MG.MINT",798
"CLEMENT.CLARKE.STND.RANGE.PEAK.FLOW.METER.HAND.HELD",800
"IBUPROFEN_GEL.5.",803
"TRAMADOL.HCL_CAP.200MG.M.R",809
"QVAR.100_INHA.100MCG..200.D.",811
"IBUPROFEN_TAB.600MG",813
"MOTILIUM.10_TAB.10MG",828
"FEXOFENADINE.HCL_TAB.180MG",833
"LORAZEPAM_TAB.1MG",835
"MICROGYNON.30_TAB",842
"DIETHYLAMINE.SAL_CRM.10..BP",847
"CLEARSORE_CRM.5.",856
"OXYTETRACYCLINE_TAB.250MG",857
"DEPO.PROVERA_INJ.150MG.ML.1ML.PFS",863
"EUMOVATE_OINT.0.05.",866
"RANITIDINE.HCL_TAB.75MG",871
"CHAMPIX_TAB.1MG",888
"LOFEPRAMINE.HCL_TAB.70MG",893
"ALIMEMAZINE.TART_TAB.10MG",896
"VIT.B.CO_TAB",897
"PREGABALIN_CAP.200MG",898
"TIMODINE_CRM",902
"SCHERIPROCT_OINT",903
"HOMEOPATHIC..PROPRIETARY.",905
"CALAMINE_LOT",906
