"variable","node_index"
"naloxone_take_home_sod",1
"homeless_rse",3
"anniversary_rse",4
"prison_rse",5
"alcohol_brief_interventions_aa",7
"inpatient_detoxification_and_residential_community_rehabilitation_aa",9
"no_known_treatment_aa",10
"statutory_addiction_service_cha",13
"alcohol_services_chnd",14
"homeless_services_chnd",15
"housing_chnd",16
"mental_health_services_chnd",17
"no_known_contact_chnd",18
"not_currently_prescribed_a_substitute_drug_cp",20
"alcohol_consumption_edu",21
"injecting_edu",22
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",23
"oral_consumption_edu",24
"snorting_edu",25
"employed_paid_unpaid_es",26
"long_term_sick_disabled_es",27
"unemployed_es",28
"cocaine_idu",29
"crack_cocaine_idu",30
"diazepam_non_prescribed_idu",31
"heroin_idu",32
"methadone_non_prescribed_idu",33
"no_fixed_abode_lw",37
"back_pain_injury_mc",45
"cardiac_condition_mc",46
"chronic_pain_mc",47
"no_known_medical_conditions_mc",53
"a_dhd_add_pc",60
"anxiety_pc",61
"depression_low_mood_pc",62
"no_known_psychiatric_conditions_pc",63
"others_home_pdu",67
"outdoors_pdu",68
"alprazolam_td",69
"amphetamines_td",71
"buprenorphine_td",72
"codeine_td",74
"diazepam_td",75
"etizolam_td",77
"heroin_morphine_td",78
"nordiazepam_td",80
"F1122_OPIOIDS.DEPENDENCE.SYNDR.CONTROLLED.DEPENDENCE",92
"R51X_HEADACHE",124
"PIROXICAM_GEL.0.5.",151
"RANITIDINE.HCL_TAB.150MG",196
"gp_cha",217
"vitamin_supplements_aa",220
"pharmacotherapy_and_community_based_detoxification_aa",221
"self_help_individual_and_group_based_aa",222
"social_work_chnd",225
"alcohol_td",227
"smoking_edu",228
"mirtazapine_td",229
"ecstasy_mdma_idu",230
"cocaine_td",231
"stomach_problems_gastritis_mc",232
"own_home_pdu",238
"paracetamol_td",241
"NITRAZEPAM_TAB.5MG",251
"IBUPROFEN_TAB.200MG",265
"CYCLIZINE.HCL_TAB.50MG",283
"EPADERM.OINT",308
"QUETIAPINE_TAB.200MG",317
