"index","condition1","condition2","weight","bootstrap","CI_lower","CI_upper"
1,"breakdown_rse","illhealth_rse",0,0.39,-0.325947036598107,0.0780635200426173
2,"breakdown_rse","alcohol_use_problem",0,0.18,-0.239788872891285,0.280044118785198
3,"breakdown_rse","no_known_treatment_aa",0,0.12,-0.242592138624056,0.227171111156567
4,"breakdown_rse","gp_cha",0,0.14,-0.302131776240195,0.178042209352975
5,"breakdown_rse","statutory_addiction_service_cha",0,0.21,-0.278747728359501,0.111887844781109
6,"breakdown_rse","alcohol_services_chnd",0,0.74,0.0186841578897385,0.420606950914635
7,"breakdown_rse","mental_health_services_chnd",0,0.19,-0.3008843309151,0.116598379018193
8,"breakdown_rse","no_known_contact_chnd",0,0.22,-0.28322359490044,0.148921655163911
9,"breakdown_rse","social_work_chnd",0,0.18,-0.190036070231844,0.177094687434178
10,"breakdown_rse","methadone_cp",0,0.32,-0.113746414315615,0.284749474890395
11,"breakdown_rse","not_currently_prescribed_a_substitute_drug_cp",0,0.2,-0.296715547704396,0.171897414806073
12,"breakdown_rse","alcohol_consumption_edu",0,0.15,-0.242913192320559,0.137902282492072
13,"breakdown_rse","injecting_edu",0,0.68,-0.423339334188268,-0.0508003604339982
14,"breakdown_rse","no_evidence_of_drug_taking_or_alcohol_consumption_edu",0,0.09,-0.198680597933726,0.215403817969056
15,"breakdown_rse","oral_consumption_edu",0,0.53,-0.00840181314556839,0.397549516630642
16,"breakdown_rse","employed_paid_unpaid_es",0,0.2,-0.258437022182743,0.264445115776052
17,"breakdown_rse","long_term_sick_disabled_es",0,0.16,-0.235565016597291,0.154184485647654
18,"breakdown_rse","retired_es",0,0.9,-0.0128246999150042,0.531193439065621
19,"breakdown_rse","unemployed_es",0,0.29,-0.346318179924164,0.147094074185458
20,"breakdown_rse","amphetamines_idu",0,0.53,-0.409782534978691,0.0664549893861029
21,"breakdown_rse","cannabis_idu",0,0.18,-0.102077822401388,0.34271374232356
22,"breakdown_rse","cocaine_idu",0,0.24,-0.104711437912412,0.262452039982995
23,"breakdown_rse","diazepam_non_prescribed_idu",0,0.4,-0.0917890777899479,0.357773186483611
24,"breakdown_rse","ecstasy_mdma_idu",0,0.25,-0.309193014081148,0.151852399044261
25,"breakdown_rse","heroin_idu",0,0.16,-0.255233043683277,0.163904739024178
26,"breakdown_rse","own_home_lw",0,0.13,-0.310015243761416,0.166475967357567
27,"breakdown_rse","relative_s_home_lw",0,0.13,-0.224100874226421,0.244874574959088
28,"breakdown_rse","living_alone_lww",0,0.45,-0.399325442967099,0.0660661352935721
29,"breakdown_rse","with_parents_lww",0,0.07,-0.223027471348191,0.134255960669399
30,"breakdown_rse","with_spouse_partner_lww",0,0.16,-0.234201481294296,0.198528458527143
31,"breakdown_rse","hepatitis_c_mc",0,0.2,-0.245458553909668,0.157214246708319
32,"breakdown_rse","no_known_medical_conditions_mc",0,0.28,-0.299386313627258,0.126854799897189
33,"breakdown_rse","respiratory_condition_including_copd_mc",0,0.11,-0.154408911966413,0.221100422270951
34,"breakdown_rse","diazepam_op",0,0.31,-0.335804422904432,0.07915951317648
35,"breakdown_rse","anxiety_pc",0,0.89,-0.519450192444196,-0.0629626064765597
36,"breakdown_rse","depression_low_mood_pc",0,1,-0.747416205141144,-0.471286843267545
37,"breakdown_rse","no_known_psychiatric_conditions_pc",0,0.11,-0.241832174350637,0.24939579169388
38,"breakdown_rse","others_home_pdu",0,0.35,-0.0619211516240961,0.352618556510415
39,"breakdown_rse","own_home_pdu",0,0.28,-0.320752007419951,0.149797577986862
40,"breakdown_rse","alcohol_td",0,0.52,-0.416246757445593,0.039319229910865
41,"breakdown_rse","cannabis_td",0,0.2,-0.241240411063883,0.0855917202275058
42,"breakdown_rse","cocaine_td",0,0.14,-0.203089664259311,0.196119118623313
43,"breakdown_rse","codeine_td",0,0.28,-0.364796683933153,0.0755246590785554
44,"breakdown_rse","diazepam_td",0,0.82,-0.482607257833493,-0.0641127965259948
45,"breakdown_rse","dihydrocodeine_td",0,0.98,-0.562851115411125,-0.180890531396757
46,"breakdown_rse","heroin_morphine_td",0,0.58,-0.341795596507294,0.0215494573143312
47,"breakdown_rse","methadone_td",0,0.05,-0.139014525561329,0.163336364178047
48,"breakdown_rse","nordiazepam_td",0,0.22,-0.111623373061177,0.282334650423596
49,"breakdown_rse","oxazepam_td",0,0.39,-0.337640676507449,0.0340815654675013
50,"breakdown_rse","paracetamol_td",0,0.19,-0.138025044702025,0.301024313805424
51,"breakdown_rse","temazepam_td",0,0.1,-0.188211025666018,0.178841146694543
52,"breakdown_rse","tramadol_td",0,0.12,-0.061260496789167,0.247129349056527
53,"breakdown_rse","conditions_total",0.2,0.29,-0.066161326083017,0.282259071708872
54,"breakdown_rse","F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",0,0.06,-0.165263058814314,0.184359964059361
