"condition","value"
"jobloss_rse",5
"relapse_rse",7
"assaulted_rse",9
"arrested_rse",10
"anniversary_rse",11
"ill_fam_rse",13
"debt_rse",14
"community_rehabilitation_cha",26
"completed_detox_cha",27
"drug_crisis_centre_cha",28
"dtto_cha",29
"harm_reduction_team_cha",31
"prison_healthcare_cha",35
"probation_cha",36
"residential_rehab_cha",38
"social_work_offender_services_cha",39
"social_work_services_cha",40
"specialist_drug_service_non_statutory_cha",41
"supported_accomodation_cha",43
"voluntary_sector_cha",44
"buprenorphine_idu",67
"legal_highs_new_psychoactive_substances_idu",76
"temazepam_non_prescribed_idu",78
"volatile_substances_idu",79
"arthritis_mc",92
"eating_disorder_underweight_mc",99
"hiv_aids_mc",102
"kidney_problems_mc",103
"migraine_headaches_mc",106
"pancreatitis_not_alcohol_related_mc",109
"sensory_impairment_mc",111
"skin_condition_mc",112
"agoraphobia_pc",126
"drug_or_alcohol_psychosis_pc",130
"amphetamines_td",146
"anti_depressants_td",147
"anti_psychotics_td",148
"benzo_td",149
"endogenous_substance_td",159
"fentanyl_td",161
"naloxone_td",168
"olanzapine_td",171
"other_nps_td",173
"other_opioids_td",174
"phenazepam_td",178
"venlafaxine_td",186
"Z530_PROCEDURE.NOT.CARRIED.OUT.BECAUSE.OF.CONTRAINDICATION",191
"Z878_PERSONAL.HISTORY.OF.OTHER.SPECIFIED.CONDITIONS",192
"K20X_OESOPHAGITIS",196
"R060_DYSPNOEA",200
"R55X_SYNCOPE.AND.COLLAPSE",203
"F329_DEPRESSIVE.EPISODE..UNSPECIFIED",205
"R945_ABNORMAL.RESULTS.OF.LIVER.FUNCTION.STUDIES",206
"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",209
"F1122_OPIOIDS.DEPENDENCE.SYNDR.CONTROLLED.DEPENDENCE",211
"F121_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.CANNABINOIDS",212
"I269_PULMONARY.EMBOLISM.WITHOUT.MENTION.OF.ACUTE.COR.PULMONALE",213
"R074_CHEST.PAIN..UNSPECIFIED",218
"Y099_ASSAULT.BY.UNSPECIFIED.MEANS.IN.UNSPECIFIED.PLACE",221
"K625_HAEMORRHAGE.OF.ANUS.AND.RECTUM",226
"S618_OPEN.WOUND.OF.OTHER.PARTS.OF.WRIST.AND.HAND",227
"K292_ALCOHOLIC.GASTRITIS",246
"F132_MENTAL.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.SEDATIVES.HYPNOTICS",251
"F191_MENTAL.BEHAV.DISORDERS.DUE.TO.HARMFUL.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",252
"S018_OPEN.WOUND.OF.OTHER.PARTS.OF.HEAD",254
"T406_POISONING.BY.OTHER.AND.UNSPECIFIED.NARCOTICS",257
"W109_FALL.ON.AND.FROM.STAIRS.AND.STEPS.IN.UNSPECIFIED.PLACE",260
"F192_MENTAL.BEHAV.DISORDERS.DUE.TO.DEPNDENT.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",270
"R53X_MALAISE.AND.FATIGUE",276
"Z048_EXAMINATION.AND.OBSERVATION.FOR.OTHER.SPECIFIED.REASONS",277
"S008_SUPERFICIAL.INJURY.OF.OTHER.PARTS.OF.HEAD",279
"Z538_PROCEDURE.NOT.CARRIED.OUT.FOR.OTHER.REASONS",280
