"variable","community","degree","closeness","betweenness","strength","source"
"no_known_psychiatric_conditions_pc",26,0,NA,0,0,"NDRDD"
"with_spouse_partner_lww",25,0,NA,0,0,"NDRDD"
"unemployed_es",24,0,NA,0,0,"NDRDD"
"oral_consumption_edu",23,0,NA,0,0,"NDRDD"
"not_currently_prescribed_a_substitute_drug_cp",22,0,NA,0,0,"NDRDD"
"social_work_chnd",21,0,NA,0,0,"NDRDD"
"MIRTAZAPINE_TAB.15MG",20,1,1,0,1,"PIS"
"MIRTAZAPINE_TAB.30MG",20,1,1,0,1,"PIS"
"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",19,2,0.5,0.00142247510668563,2,"SMR"
"T510_TOXIC.EFFECT.OF.ETHANOL",19,1,0.333333333333333,0,1,"SMR"
"THIAMINE.HCL_TAB.100MG",19,1,0.333333333333333,0,1,"PIS"
"oxazepam_td",18,1,1,0,1,"NDRDD"
"temazepam_td",18,1,1,0,1,"NDRDD"
"diazepam_td",17,1,1,0,1,"NDRDD"
"nordiazepam_td",17,1,1,0,1,"NDRDD"
"codeine_td",16,1,1,0,1,"NDRDD"
"paracetamol_td",16,1,1,0,1,"NDRDD"
"others_home_pdu",15,0,NA,0,0,"NDRDD"
"depression_low_mood_pc",14,0,NA,0,0,"NDRDD"
"SALBUTAMOL_INHA.100MCG..200.D..CFF",13,2,0.5,0.00142247510668563,2,"PIS"
"respiratory_condition_including_copd_mc",13,1,0.333333333333333,0,1,"NDRDD"
"CITALOPRAM.HYDROB_TAB.20MG",13,1,0.333333333333333,0,1,"PIS"
"hepatitis_c_mc",12,1,1,0,1,"NDRDD"
"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",12,1,1,0,1,"SMR"
"living_alone_lww",11,0,NA,0,0,"NDRDD"
"relative_s_home_lw",10,1,1,0,1,"NDRDD"
"with_parents_lww",10,1,1,0,1,"NDRDD"
"own_home_lw",9,1,1,0,1,"NDRDD"
"own_home_pdu",9,1,1,0,1,"NDRDD"
"cocaine_idu",8,1,1,0,1,"NDRDD"
"cocaine_td",8,1,1,0,1,"NDRDD"
"retired_es",7,0,NA,0,0,"NDRDD"
"long_term_sick_disabled_es",6,0,NA,0,0,"NDRDD"
"employed_paid_unpaid_es",5,0,NA,0,0,"NDRDD"
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",4,0,NA,0,0,"NDRDD"
"methadone_cp",3,1,1,0,1,"NDRDD"
"methadone_td",3,1,1,0,1,"NDRDD"
"no_known_contact_chnd",2,0,NA,0,0,"NDRDD"
"mental_health_services_chnd",1,0,NA,0,0,"NDRDD"
