"variable","community","degree","closeness","betweenness","strength","source"
"schizophrenia_pc",39,0,NA,0,0,"NDRDD"
"respiratory_condition_including_copd_mc",38,0,NA,0,0,"NDRDD"
"unemployed_es",37,0,NA,0,0,"NDRDD"
"snorting_edu",36,0,NA,0,0,"NDRDD"
"oral_consumption_edu",35,0,NA,0,0,"NDRDD"
"not_currently_prescribed_a_substitute_drug_cp",34,0,NA,0,0,"NDRDD"
"social_work_chnd",33,0,NA,0,0,"NDRDD"
"LACTULOSE_SOLN.3.1G.3.7G.5ML",32,1,1,0,1,"PIS"
"SENNA_TAB.7.5MG",32,1,1,0,1,"PIS"
"SERTRALINE.HCL_TAB.100MG",31,1,1,0,1,"PIS"
"SERTRALINE.HCL_TAB.50MG",31,1,1,0,1,"PIS"
"MIRTAZAPINE_TAB.30MG",30,2,0.5,0.000452284034373587,2,"PIS"
"MIRTAZAPINE_TAB.15MG",30,1,0.333333333333333,0,1,"PIS"
"MIRTAZAPINE_TAB.45MG",30,1,0.333333333333333,0,1,"PIS"
"DIAZEPAM_TAB.2MG",29,1,1,0,1,"PIS"
"DOXYCYCLINE.HYCLATE_CAP.100MG",29,1,1,0,1,"PIS"
"AMITRIPTYLINE.HCL_TAB.25MG",28,1,1,0,1,"PIS"
"AMITRIPTYLINE.HCL_TAB.10MG",28,1,1,0,1,"PIS"
"T401_POISONING.BY.HEROIN",27,1,1,0,1,"SMR"
"X629_INTENT.SELF.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.IN.UNSPECIFIED.PLACE",27,1,1,0,1,"SMR"
"SALBUTAMOL_INHA.100MCG..200.D..CFF",26,2,0.5,0.000452284034373587,2,"PIS"
"J459_ASTHMA..UNSPECIFIED",26,1,0.333333333333333,0,1,"SMR"
"CLENIL.MODULITE_INHA.100MCG..200D.",26,1,0.333333333333333,0,1,"PIS"
"F100_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.ALCOHOL",25,1,1,0,1,"SMR"
"S099_UNSPECIFIED.INJURY.OF.HEAD",25,1,1,0,1,"SMR"
"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",24,1,1,0,1,"SMR"
"THIAMINE.HCL_TAB.100MG",24,1,1,0,1,"PIS"
"T424_POISONING.BY.BENZODIAZEPINES",23,1,1,0,1,"SMR"
"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",23,1,1,0,1,"SMR"
"oxazepam_td",22,1,1,0,1,"NDRDD"
"temazepam_td",22,1,1,0,1,"NDRDD"
"fluoxetine_td",21,1,1,0,1,"NDRDD"
"FLUOXETINE.HCL_CAP.20MG",21,1,1,0,1,"PIS"
"diazepam_td",20,1,1,0,1,"NDRDD"
"nordiazepam_td",20,1,1,0,1,"NDRDD"
"codeine_td",19,1,1,0,1,"NDRDD"
"heroin_morphine_td",19,1,1,0,1,"NDRDD"
"citalopram_td",18,1,1,0,1,"NDRDD"
"CITALOPRAM.HYDROB_TAB.20MG",18,1,1,0,1,"PIS"
"others_home_pdu",17,0,NA,0,0,"NDRDD"
"no_known_psychiatric_conditions_pc",16,0,NA,0,0,"NDRDD"
"depression_low_mood_pc",15,0,NA,0,0,"NDRDD"
"mirtazapine_op",14,1,1,0,1,"NDRDD"
"mirtazapine_td",14,1,1,0,1,"NDRDD"
"no_known_medical_conditions_mc",13,0,NA,0,0,"NDRDD"
"with_friends_lww",12,0,NA,0,0,"NDRDD"
"relative_s_home_lw",11,2,0.5,0.000452284034373587,2,"NDRDD"
"with_parents_lww",11,1,0.333333333333333,0,1,"NDRDD"
"with_relatives_lww",11,1,0.333333333333333,0,1,"NDRDD"
"cocaine_idu",10,1,1,0,1,"NDRDD"
"cocaine_td",10,1,1,0,1,"NDRDD"
"long_term_sick_disabled_es",9,0,NA,0,0,"NDRDD"
"employed_paid_unpaid_es",8,0,NA,0,0,"NDRDD"
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",7,0,NA,0,0,"NDRDD"
"injecting_edu",6,0,NA,0,0,"NDRDD"
"methadone_cp",5,1,1,0,1,"NDRDD"
"methadone_td",5,1,1,0,1,"NDRDD"
"no_known_contact_chnd",4,0,NA,0,0,"NDRDD"
"mental_health_services_chnd",3,0,NA,0,0,"NDRDD"
"alcohol_use_problem",2,2,0.5,0.000452284034373587,2,"NDRDD"
"no_known_treatment_aa",2,1,0.333333333333333,0,1,"NDRDD"
"alcohol_services_chnd",2,1,0.333333333333333,0,1,"NDRDD"
"own_home_lw",1,3,0.125,0.00316598824061511,3,"NDRDD"
"prison_rse",1,2,0.1,0.00180913613749435,2,"NDRDD"
"living_alone_lww",1,2,0.125,0.00271370420624152,2,"NDRDD"
"prison_healthcare_cha",1,1,0.0714285714285714,0,1,"NDRDD"
"with_spouse_partner_lww",1,1,0.0833333333333333,0,1,"NDRDD"
"own_home_pdu",1,1,0.0833333333333333,0,1,"NDRDD"
