"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"73",21,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",5,0.01
"73",21,2,"T424_POISONING.BY.BENZODIAZEPINES",4,0.01
"73",21,3,"T402_POISONING.BY.OTHER.OPIOIDS",4,0
"73",21,4,"T403_POISONING.BY.METHADONE",4,0
"73",21,5,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME",4,0
"33",13,1,"homeless_accomodation_lw",4,0
"33",13,2,"own_home_lw",4,0
"33",13,3,"relative_s_home_lw",4,0
"33",13,4,"living_alone_lww",4,0
"33",13,5,"with_spouse_partner_lww",4,0
"46",11,1,"CITALOPRAM.HYDROB_TAB.20MG",4,0
"46",11,2,"citalopram_td",2,0
"46",11,3,"F329_DEPRESSIVE.EPISODE..UNSPECIFIED",2,0
"46",11,4,"CITALOPRAM.HYDROB_TAB.10MG",2,0
"46",11,5,"VENLAFAXINE_TAB.37.5MG",2,0
"44",10,1,"PREDNISOLONE_TAB.5MG",3,0
"44",10,2,"SALBUTAMOL_INHA.100MCG..200.D..CFF",3,0
"44",10,3,"AEROCHAMBER.PLUS",3,0
"44",10,4,"CLENIL.MODULITE_INHA.100MCG..200D.",2,0
"44",10,5,"SERETIDE.500_ACCUHALER.500MCG.50MCG.60D.",2,0
"71",9,1,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG",4,0
"71",9,2,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION",3,0
"71",9,3,"J449_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE..UNSPECIFIED",2,0
"71",9,4,"SPIRIVA_PDR.FOR.INH.CAP.18MCG",2,0
"71",9,5,"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED",1,0
"91",6,1,"MIRTAZAPINE_TAB.30MG",2,0
"91",6,2,"MIRTAZAPINE_TAB.45MG",2,0
"91",6,3,"MIRTAZAPINE_ORODISPER.TAB.30MG",2,0
"91",6,4,"MIRTAZAPINE_ORODISPER.TAB.45MG",2,0
"91",6,5,"MIRTAZAPINE_TAB.15MG",1,0
"77",6,1,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE",3,0
"77",6,2,"S009_SUPERFICIAL.INJURY.OF.HEAD..PART.UNSPECIFIED",2,0
"77",6,3,"Z045_EXAMINATION.AND.OBSERVATION.FOLLOWING.OTHER.INFLICTED.INJURY",2,0
"77",6,4,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE",1,0
"77",6,5,"F1001_MENTAL.BEHAVIOUR.DIS.DUE.TO.ALCOHOL.ACUTE.INTOX.TRAUMA.OTHER.BODILY.INJURY",1,0
"54",6,1,"CHLORPROMAZINE.HCL_TAB.50MG",3,0
"54",6,2,"F200_PARANOID.SCHIZOPHRENIA",2,0
"54",6,3,"F209_SCHIZOPHRENIA..UNSPECIFIED",2,0
"54",6,4,"PROCYCLIDINE.HCL_TAB.5MG",2,0
"54",6,5,"schizophrenia_pc",1,0
"38",6,1,"SIMVASTATIN_TAB.40MG",3,0
"38",6,2,"METFORMIN.HCL_TAB.500MG",2,0
"38",6,3,"ASPIRIN.DISPER_TAB.75MG",2,0
"38",6,4,"diabetes_mc",1,0
"38",6,5,"I10X_ESSENTIAL..PRIMARY..HYPERTENSION",1,0
"106",5,1,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F",2,0
"106",5,2,"GAVISCON_LIQ.ORIG.ANISEED.RELIEF",2,0
