"variable","community","degree","closeness","betweenness","strength","source"
"AEROCHAMBER.PLUS",202,0,NA,0,0,"PIS"
"CLOBET.BUT_OINT.0.05.",201,0,NA,0,0,"PIS"
"DERBAC.M_LIQ.0.5.",200,0,NA,0,0,"PIS"
"NITRAZEPAM_TAB.5MG",199,0,NA,0,0,"PIS"
"DOSULEPIN.HCL_TAB.75MG",198,0,NA,0,0,"PIS"
"MOVICOL_PDR.SACH.13.8G..LEM...LIM.",197,0,NA,0,0,"PIS"
"PROCHLPZINE.MAL_TAB.BUCCAL.3MG",196,0,NA,0,0,"PIS"
"F110_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.OPIOIDS",195,0,NA,0,0,"SMR"
"phenazepam_td",194,0,NA,0,0,"NDRDD"
"psychotic_episode_pc",193,0,NA,0,0,"NDRDD"
"post_traumatic_stress_disorder_pc",192,0,NA,0,0,"NDRDD"
"personality_disorder_pc",191,0,NA,0,0,"NDRDD"
"skin_condition_mc",190,0,NA,0,0,"NDRDD"
"liver_disease_mc",189,0,NA,0,0,"NDRDD"
"hiv_aids_mc",188,0,NA,0,0,"NDRDD"
"prison_lw",187,0,NA,0,0,"NDRDD"
"dihydrocodeine_td",186,0,NA,0,0,"NDRDD"
"paracetamol_td",185,0,NA,0,0,"NDRDD"
"arthritis_mc",184,0,NA,0,0,"NDRDD"
"volatile_substances_idu",183,0,NA,0,0,"NDRDD"
"cocaine_td",182,0,NA,0,0,"NDRDD"
"methadone_td",181,0,NA,0,0,"NDRDD"
"social_work_chnd",180,0,NA,0,0,"NDRDD"
"temazepam_non_prescribed_idu",179,0,NA,0,0,"NDRDD"
"supported_accomodation_cha",178,0,NA,0,0,"NDRDD"
"social_work_offender_services_cha",177,0,NA,0,0,"NDRDD"
"other_nps_td",176,0,NA,0,0,"NDRDD"
"anniversary_rse",175,0,NA,0,0,"NDRDD"
"HYPROMELLOSE_EYE.DPS.0.3.",174,1,1,0,1,"PIS"
"VISCOTEARS_LIQ.GEL.2MG.G",174,1,1,0,1,"PIS"
"WARFARIN.SOD_TAB.1MG",173,2,0.5,3.79975301605396e-06,2,"PIS"
"WARFARIN.SOD_TAB.3MG",173,1,0.333333333333333,0,1,"PIS"
"WARFARIN.SOD_TAB.5MG",173,1,0.333333333333333,0,1,"PIS"
"SILDENAFIL_TAB.100MG",172,2,0.5,3.79975301605396e-06,2,"PIS"
"VIAGRA_TAB.100MG",172,1,0.333333333333333,0,1,"PIS"
"SILDENAFIL_TAB.50MG",172,1,0.333333333333333,0,1,"PIS"
"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F",171,1,1,0,1,"PIS"
"METHADONE.HCL_LINCT.2MG.5ML",171,1,1,0,1,"PIS"
"RAMIPRIL_CAP.5MG",170,3,0.333333333333333,1.13992590481619e-05,3,"PIS"
"AMLODIPINE_TAB.5MG",170,1,0.2,0,1,"PIS"
"BENDROFLUMETHIAZIDE_TAB.2.5MG",170,1,0.2,0,1,"PIS"
"RAMIPRIL_CAP.2.5MG",170,1,0.2,0,1,"PIS"
"LEVOTHYROX.SOD_TAB.50MCG",169,3,0.333333333333333,7.59950603210791e-06,3,"PIS"
"LEVOTHYROX.SOD_TAB.100MCG",169,2,0.25,0,2,"PIS"
"LEVOTHYROX.SOD_TAB.25MCG",169,2,0.25,0,2,"PIS"
"GLYCEROL_SUPPOS.ADULT.S..4G.",169,1,0.2,0,1,"PIS"
"VENTOLIN_EVOHALER.100MCG..200.D.",168,1,1,0,1,"PIS"
"VENTOLIN_ACCUHALER.200MCG..60.D.",168,1,1,0,1,"PIS"
"PROPRANOLOL.HCL_CAP.80MG.M.R",167,2,0.5,3.79975301605396e-06,2,"PIS"
"HALF.INDERAL.LA_CAP.80MG",167,1,0.333333333333333,0,1,"PIS"
"PROPRANOLOL.HCL_TAB.80MG",167,1,0.333333333333333,0,1,"PIS"
"FUCIBET_CRM",166,0,NA,0,0,"PIS"
"BRICANYL_TURBOHALER.500MCG..100.D.",165,1,1,0,1,"PIS"
"TERBUT.SULF_B.A.INHA.500MCG..100.D.",165,1,1,0,1,"PIS"
"DIPROBASE_CRM",164,1,1,0,1,"PIS"
"BETAMETH.VAL_OINT.0.1.",164,1,1,0,1,"PIS"
"NIQUITIN.CLR_PATCH.14MG.24HRS.STEP.2.",163,1,1,0,1,"PIS"
"NIQUITIN.CLR_PATCH.21MG.24HRS.STEP.1.",163,1,1,0,1,"PIS"
"CYMBALTA_CAP.G.R.60MG",162,1,1,0,1,"PIS"
"DULOXETINE.HCL_CAP.G.R.60MG",162,1,1,0,1,"PIS"
"ACUPAN_TAB.30MG",161,2,0.5,3.79975301605396e-06,2,"PIS"
"CODEINE.PHOS_TAB.30MG",161,1,0.333333333333333,0,1,"PIS"
"NEFOPAM.HCL_TAB.30MG",161,1,0.333333333333333,0,1,"PIS"
"QUININE.SULF_TAB.200MG",160,1,1,0,1,"PIS"
"CARBOCISTEINE_CAP.375MG",160,1,1,0,1,"PIS"
"FOLIC.ACID_TAB.400MCG",159,1,1,0,1,"PIS"
"FERR.SULF_TAB.200MG",159,1,1,0,1,"PIS"
"LYMECYCLINE_CAP.408MG",158,2,0.5,0,2,"PIS"
"TETRALYSAL.300_CAP",158,2,0.5,0,2,"PIS"
"ZINERYT_LOT",158,2,0.5,0,2,"PIS"
"AIROMIR_AUTOHALER.100MCG..200.D..CFF",157,2,0.5,3.79975301605396e-06,2,"PIS"
"NICORETTE_QUICKMIST.OROMUCOSAL.P.SPY",157,1,0.333333333333333,0,1,"PIS"
"SALAMOL.E.BREATHE_INH.100MCG..200.D..CFF",157,1,0.333333333333333,0,1,"PIS"
"DOVOBET_OINT.0.005..0.05.",156,1,1,0,1,"PIS"
"CAPASAL_THERAPEUTIC.SHAMPOO",156,1,1,0,1,"PIS"
"BENZYDAMINE.HCL_MTHWSH.0.15..S.F",155,2,0.25,7.59950603210791e-06,2,"PIS"
"XYLOMET.HCL_NSL.SPY.0.1..10ML",155,2,0.25,7.59950603210791e-06,2,"PIS"
"DIFFLAM_ORAL.RINSE.SOLN.0.15.",155,1,0.166666666666667,0,1,"PIS"
"GLYCEROL.LEM.HONEY...GLUCOSE_SYR",155,1,0.166666666666667,0,1,"PIS"
"LAMOTRIGINE_TAB.25MG",154,2,0.25,7.59950603210791e-06,2,"PIS"
"LAMOTRIGINE_TAB.50MG",154,2,0.25,7.59950603210791e-06,2,"PIS"
"MOVELAT_CRM",154,1,0.166666666666667,0,1,"PIS"
"LAMOTRIGINE_TAB.100MG",154,1,0.166666666666667,0,1,"PIS"
"RISPERIDONE_TAB.2MG",153,1,1,0,1,"PIS"
"RISPERIDONE_TAB.1MG",153,1,1,0,1,"PIS"
"E45_CRM",152,1,1,0,1,"PIS"
"CYMEX_CRM",152,1,1,0,1,"PIS"
"VARENICLINE.TART_TAB.1MG",151,1,1,0,1,"PIS"
"VARENICLINE.TART_TI.P..TAB.0.5MG.1MG.",151,1,1,0,1,"PIS"
"DICLOFENAC.SOD_TAB.E.C.25MG",150,0,NA,0,0,"PIS"
"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.",149,1,1,0,1,"PIS"
"ALENDRONIC.ACID_TAB.70MG",149,1,1,0,1,"PIS"
"PARACET_CAP.500MG",148,0,NA,0,0,"PIS"
"CO.CODAMOL_CAP.30MG.500MG",147,1,1,0,1,"PIS"
"CO.CODAMOL_CAP.8MG.500MG",147,1,1,0,1,"PIS"
"CO.DYDRAMOL_TAB.10MG.500MG",146,1,1,0,1,"PIS"
"IBUPROFEN_GEL.10.",146,1,1,0,1,"PIS"
"PHENERGAN_TAB.25MG",145,1,1,0,1,"PIS"
"PROMETHAZINE.HCL_TAB.25MG",145,1,1,0,1,"PIS"
"FLUCONAZOLE_CAP.50MG",144,1,1,0,1,"PIS"
"NYSTATIN_ORAL.SUSP.100.000U.ML",144,1,1,0,1,"PIS"
"ERYTHROMYCIN_TAB.E.C.250MG",143,1,1,0,1,"PIS"
"OTEX_EAR.DPS.5.",143,1,1,0,1,"PIS"
"DICLOFENAC.SOD_GEL.1.16.",142,1,1,0,1,"PIS"
"VOLTAROL.EMULGEL_AQ.GEL.1.16.",142,1,1,0,1,"PIS"
"DERMOL.500_LOT",141,1,1,0,1,"PIS"
"EUMOVATE_CRM.0.05.",141,1,1,0,1,"PIS"
"FLUCLOX.SOD_CAP.500MG",140,2,0.5,3.79975301605396e-06,2,"PIS"
"CHLORPHENAMINE.MAL_TAB.4MG",140,1,0.333333333333333,0,1,"PIS"
"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG",140,1,0.333333333333333,0,1,"PIS"
"CHLORHEX.GLUCON_MTHWSH..MINT..0.2.",139,3,0.111111111111111,4.17972831765935e-05,3,"PIS"
"CHLORHEX.GLUCON_MTHWSH.0.2.",139,3,0.1,3.41977771444856e-05,3,"PIS"
"CORSODYL_MTHWSH..MINT..0.2.",139,2,0.0833333333333333,1.89987650802698e-05,2,"PIS"
"CORSODYL_MTHWSH.0.2.",139,1,0.0588235294117647,0,1,"PIS"
"MICONAZOLE_OROMUCOSAL.GEL.20MG.G.S.F",139,1,0.0666666666666667,0,1,"PIS"
"METRONIDAZOLE_TAB.200MG",139,1,0.0666666666666667,0,1,"PIS"
