"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"25",34,1,"METHADONE.HCL_MIX.1MG.1ML",6,0.03
"25",34,2,"MICROPORE.2.5CM.X.5M.SURG.ADH.TAPE.PERM.NON.WOV.SYN",5,0.01
"25",34,3,"CITALOPRAM.HYDROB_TAB.20MG",5,0.01
"25",34,4,"L97X_ULCER.OF.LOWER.LIMB..NOT.ELSEWHERE.CLASSIFIED",4,0.01
"25",34,5,"IBUPROFEN_TAB.400MG",3,0.01
"114",30,1,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION",4,0.06
"114",30,2,"R05X_COUGH",4,0.06
"114",30,3,"FORTISIP.BOTTLE_LIQ..8.FLAV.",4,0.01
"114",30,4,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.",4,0.08
"114",30,5,"J441_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.EXACERBATION..UNSPECIFIED",3,0.03
"113",30,1,"T424_POISONING.BY.BENZODIAZEPINES",8,0.09
"113",30,2,"X629_INTENT.SELF.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.IN.UNSPECIFIED.PLACE",7,0.02
"113",30,3,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME",7,0.02
"113",30,4,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",6,0
"113",30,5,"T402_POISONING.BY.OTHER.OPIOIDS",6,0
"111",30,1,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION",4,0.01
"111",30,2,"SEVREDOL_TAB.10MG",4,0.01
"111",30,3,"J181_LOBAR.PNEUMONIA..UNSPECIFIED",3,0.03
"111",30,4,"J90X_PLEURAL.EFFUSION..NOT.ELSEWHERE.CLASSIFIED",3,0.03
"111",30,5,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER",3,0.01
"66",29,1,"B182_CHRONIC.VIRAL.HEPATITIS.C",4,0.01
