"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"19",3,1,"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",2,0
"19",3,2,"T510_TOXIC.EFFECT.OF.ETHANOL",1,0
"19",3,3,"THIAMINE.HCL_TAB.100MG",1,0
"19",3,4,NA,NA,NA
"19",3,5,NA,NA,NA
"13",3,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF",2,0
"13",3,2,"respiratory_condition_including_copd_mc",1,0
"13",3,3,"CITALOPRAM.HYDROB_TAB.20MG",1,0
"13",3,4,NA,NA,NA
"13",3,5,NA,NA,NA
"20",2,1,"MIRTAZAPINE_TAB.15MG",1,0
"20",2,2,"MIRTAZAPINE_TAB.30MG",1,0
"20",2,3,NA,NA,NA
"20",2,4,NA,NA,NA
"20",2,5,NA,NA,NA
"18",2,1,"oxazepam_td",1,0
"18",2,2,"temazepam_td",1,0
"18",2,3,NA,NA,NA
"18",2,4,NA,NA,NA
"18",2,5,NA,NA,NA
"17",2,1,"diazepam_td",1,0
"17",2,2,"nordiazepam_td",1,0
"17",2,3,NA,NA,NA
"17",2,4,NA,NA,NA
"17",2,5,NA,NA,NA
"16",2,1,"codeine_td",1,0
"16",2,2,"paracetamol_td",1,0
"16",2,3,NA,NA,NA
"16",2,4,NA,NA,NA
"16",2,5,NA,NA,NA
"12",2,1,"hepatitis_c_mc",1,0
"12",2,2,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",1,0
"12",2,3,NA,NA,NA
"12",2,4,NA,NA,NA
"12",2,5,NA,NA,NA
"10",2,1,"relative_s_home_lw",1,0
"10",2,2,"with_parents_lww",1,0
"10",2,3,NA,NA,NA
"10",2,4,NA,NA,NA
"10",2,5,NA,NA,NA
"9",2,1,"own_home_lw",1,0
"9",2,2,"own_home_pdu",1,0
"9",2,3,NA,NA,NA
"9",2,4,NA,NA,NA
"9",2,5,NA,NA,NA
"8",2,1,"cocaine_idu",1,0
"8",2,2,"cocaine_td",1,0
"8",2,3,NA,NA,NA
"8",2,4,NA,NA,NA
"8",2,5,NA,NA,NA
"3",2,1,"methadone_cp",1,0
"3",2,2,"methadone_td",1,0
"3",2,3,NA,NA,NA
"3",2,4,NA,NA,NA
"3",2,5,NA,NA,NA
"26",1,1,"no_known_psychiatric_conditions_pc",0,0
"26",1,2,NA,NA,NA
"26",1,3,NA,NA,NA
"26",1,4,NA,NA,NA
"26",1,5,NA,NA,NA
"25",1,1,"with_spouse_partner_lww",0,0
"25",1,2,NA,NA,NA
"25",1,3,NA,NA,NA
"25",1,4,NA,NA,NA
"25",1,5,NA,NA,NA
"24",1,1,"unemployed_es",0,0
"24",1,2,NA,NA,NA
"24",1,3,NA,NA,NA
"24",1,4,NA,NA,NA
"24",1,5,NA,NA,NA
"23",1,1,"oral_consumption_edu",0,0
"23",1,2,NA,NA,NA
"23",1,3,NA,NA,NA
"23",1,4,NA,NA,NA
"23",1,5,NA,NA,NA
"22",1,1,"not_currently_prescribed_a_substitute_drug_cp",0,0
"22",1,2,NA,NA,NA
"22",1,3,NA,NA,NA
"22",1,4,NA,NA,NA
"22",1,5,NA,NA,NA
"21",1,1,"social_work_chnd",0,0
"21",1,2,NA,NA,NA
"21",1,3,NA,NA,NA
"21",1,4,NA,NA,NA
"21",1,5,NA,NA,NA
"15",1,1,"others_home_pdu",0,0
"15",1,2,NA,NA,NA
"15",1,3,NA,NA,NA
"15",1,4,NA,NA,NA
"15",1,5,NA,NA,NA
"14",1,1,"depression_low_mood_pc",0,0
"14",1,2,NA,NA,NA
"14",1,3,NA,NA,NA
"14",1,4,NA,NA,NA
"14",1,5,NA,NA,NA
"11",1,1,"living_alone_lww",0,0
"11",1,2,NA,NA,NA
"11",1,3,NA,NA,NA
"11",1,4,NA,NA,NA
"11",1,5,NA,NA,NA
"7",1,1,"retired_es",0,0
"7",1,2,NA,NA,NA
"7",1,3,NA,NA,NA
"7",1,4,NA,NA,NA
"7",1,5,NA,NA,NA
"6",1,1,"long_term_sick_disabled_es",0,0
"6",1,2,NA,NA,NA
"6",1,3,NA,NA,NA
"6",1,4,NA,NA,NA
"6",1,5,NA,NA,NA
"5",1,1,"employed_paid_unpaid_es",0,0
"5",1,2,NA,NA,NA
"5",1,3,NA,NA,NA
"5",1,4,NA,NA,NA
"5",1,5,NA,NA,NA
"4",1,1,"no_evidence_of_drug_taking_or_alcohol_consumption_edu",0,0
"4",1,2,NA,NA,NA
"4",1,3,NA,NA,NA
"4",1,4,NA,NA,NA
"4",1,5,NA,NA,NA
"2",1,1,"no_known_contact_chnd",0,0
"2",1,2,NA,NA,NA
"2",1,3,NA,NA,NA
"2",1,4,NA,NA,NA
"2",1,5,NA,NA,NA
"1",1,1,"mental_health_services_chnd",0,0
"1",1,2,NA,NA,NA
"1",1,3,NA,NA,NA
"1",1,4,NA,NA,NA
"1",1,5,NA,NA,NA
