"condition","value"
"naloxone_take_home_sod",1
"breakdown_rse",2
"bereavement_rse",3
"illhealth_rse",5
"relapse_rse",6
"homeless_rse",7
"arrested_rse",8
"prison_rse",9
"inpatient_detoxification_and_residential_community_rehabilitation_aa",13
"a_e_cha",18
"addiction_psychology_cha",19
"dtto_cha",20
"gp_cha",21
"hospital_inpatient_treatment_cha",22
"needle_exchange_cha",23
"prison_healthcare_cha",24
"psychiatric_services_cha",25
"residential_rehab_cha",26
"social_work_offender_services_cha",27
"social_work_services_cha",28
"statutory_addiction_service_cha",30
"voluntary_sector_cha",31
"employability_services_chnd",33
"homeless_services_chnd",34
"housing_chnd",35
"alcohol_consumption_edu",41
"cocaine_idu",52
"diazepam_non_prescribed_idu",54
"dihydrocodeine_idu",55
"heroin_idu",58
"legal_highs_new_psychoactive_substances_idu",59
"methadone_non_prescribed_idu",60
"temazepam_non_prescribed_idu",61
"volatile_substances_idu",62
"arthritis_mc",74
"cardiac_condition_mc",76
"diabetes_mc",78
"hepatitis_c_mc",81
"liver_disease_mc",82
"obesity_mc",84
"skin_condition_mc",86
"diazepam_op",89
"zopiclone_op",94
"personality_disorder_pc",99
"post_traumatic_stress_disorder_pc",100
"psychotic_episode_pc",101
"outdoors_pdu",104
"alcohol_td",106
"alprazolam_td",107
"amphetamines_td",109
"anti_depressants_td",110
"benzo_td",112
"cannabis_td",114
"citalopram_td",115
"codeine_td",117
"diclazepam_td",119
"endogenous_substance_td",122
"olanzapine_td",131
"other_nps_td",133
"other_opioids_td",134
"paracetamol_td",136
"phenazepam_td",137
"quetiapine_td",139
"sertraline_td",140
"venlafaxine_td",143
"K297_GASTRITIS..UNSPECIFIED",147
"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED",148
"R55X_SYNCOPE.AND.COLLAPSE",150
"F103_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.ALCOHOL",151
"F329_DEPRESSIVE.EPISODE..UNSPECIFIED",152
"R945_ABNORMAL.RESULTS.OF.LIVER.FUNCTION.STUDIES",153
"F101_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.ALCOHOL",156
"R074_CHEST.PAIN..UNSPECIFIED",161
"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE",162
"F100_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ACUTE.INTOXICATION.WITH.ALCOHOL",163
"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.",166
"T426_POISONING.BY.OTHER.ANTIEPILEPTIC.AND.SEDATIVE.HYPNOTIC.DRUGS",168
"T510_TOXIC.EFFECT.OF.ETHANOL",170
"Z045_EXAMINATION.AND.OBSERVATION.FOLLOWING.OTHER.INFLICTED.INJURY",174
"Z915_PERSONAL.HISTORY.OF.SELF.HARM",175
"B182_CHRONIC.VIRAL.HEPATITIS.C",176
"F191_MENTAL.BEHAV.DISORDERS.DUE.TO.HARMFUL.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",177
"T430_POISONING.BY.TRICYCLIC.AND.TETRACYCLIC.ANTIDEPRESSANTS",180
"Z225_CARRIER.OF.VIRAL.HEPATITIS",187
"F192_MENTAL.BEHAV.DISORDERS.DUE.TO.DEPNDENT.USE.OF.MULT.DRUGS.PSYCHOACT.SUBS",188
"F171_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.HARMFUL.USE.OF.TOBACCO",190
"Z720_TOBACCO.USE",191
"N390_URINARY.TRACT.INFECTION..SITE.NOT.SPECIFIED",192
"Z864_PERSONAL.HISTORY.OF.PSYCHOACTIVE.SUBSTANCE.ABUSE",193
"R073_OTHER.CHEST.PAIN",194
"R568_OTHER.AND.UNSPECIFIED.CONVULSIONS",195
"K529_NONINFECTIVE.GASTROENTERITIS.AND.COLITIS..UNSPECIFIED",196
"I10X_ESSENTIAL..PRIMARY..HYPERTENSION",199
"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM",201
"J189_PNEUMONIA..UNSPECIFIED",202
"AMOXICILLIN_CAP.500MG",205
"CHLORAMPHEN_EYE.DPS.0.5.",207
"CHLORPHENAMINE.MAL_TAB.4MG",208
"CIPROFLOXACIN_TAB.500MG",209
"CLARITHROMYCIN_TAB.250MG",210
"CLOTRIMAZOLE_CRM.1.",211
"DIAZEPAM_TAB.2MG",212
"DIAZEPAM_TAB.5MG",213
"DICLOFENAC.SOD_TAB.E.C.50MG",214
"DIHYDROCODEINE.TART_TAB.30MG",215
"ERYTHROMYCIN_TAB.E.C.250MG",216
"FLUCLOX.SOD_CAP.500MG",217
"FLUCONAZOLE_CAP.150MG",218
"HYOSCINE.BUTYLBROM_TAB.10MG",223
"IBUPROFEN_TAB.400MG",224
"METRONIDAZOLE_TAB.400MG",226
"NYSTATIN_ORAL.SUSP.100.000U.ML",230
"OMEPRAZOLE_CAP.E.C.10MG",231
"OMEPRAZOLE_CAP.E.C.20MG",232
"PARACET_TAB.500MG",233
"PIROXICAM_GEL.0.5.",236
"AQ_CRM",243
"BECLOMET.DIPROP_NSL.SPY.50MCG..200.D.",246
