"variable","node_index"
"homeless_rse",1
"mental_health_services_chnd",8
"no_known_contact_chnd",9
"injecting_edu",11
"no_evidence_of_drug_taking_or_alcohol_consumption_edu",12
"employed_paid_unpaid_es",13
"long_term_sick_disabled_es",14
"retired_es",15
"epilepsy_seizures_mc",27
"no_known_medical_conditions_mc",29
"depression_low_mood_pc",33
"no_known_psychiatric_conditions_pc",34
"outdoors_pdu",36
"CLARITHROMYCIN_TAB.250MG",50
"pharmacotherapy_and_community_based_detoxification_aa",65
"social_work_chnd",66
"not_currently_prescribed_a_substitute_drug_cp",67
"oral_consumption_edu",69
"snorting_edu",70
"unemployed_es",71
"schizophrenia_pc",80
"GABAPENTIN_CAP.300MG",97
