"variable","community","degree","closeness","betweenness","strength","source"
"GABAPENTIN_CAP.300MG",53,0,NA,0,0,"PIS"
"schizophrenia_pc",52,0,NA,0,0,"NDRDD"
"unemployed_es",51,0,NA,0,0,"NDRDD"
"snorting_edu",50,0,NA,0,0,"NDRDD"
"oral_consumption_edu",49,0,NA,0,0,"NDRDD"
"not_currently_prescribed_a_substitute_drug_cp",48,0,NA,0,0,"NDRDD"
"social_work_chnd",47,0,NA,0,0,"NDRDD"
"pharmacotherapy_and_community_based_detoxification_aa",46,0,NA,0,0,"NDRDD"
"ZOLPIDEM.TART_TAB.10MG",45,1,1,0,1,"PIS"
"VENLAFAXINE_CAP.75MG.M.R",45,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.2MG.0.5MG",44,1,1,0,1,"PIS"
"SUBOXONE_TAB.SUBLING.8MG.2MG",44,1,1,0,1,"PIS"
"LACTULOSE_SOLN.3.1G.3.7G.5ML",43,1,1,0,1,"PIS"
"SENNA_TAB.7.5MG",43,1,1,0,1,"PIS"
"METHADONE.HCL_MIX.1MG.1ML",42,1,1,0,1,"PIS"
"METHADONE.HCL_MIX.1MG.1ML.S.F",42,1,1,0,1,"PIS"
"VIT.B.CO.STRONG_TAB",41,2,0.5,0.000176335743255158,2,"PIS"
"DAKTACORT_CRM.2..1.",41,1,0.333333333333333,0,1,"PIS"
"CHLORDIAZEPOX.HCL_CAP.10MG",41,1,0.333333333333333,0,1,"PIS"
"SERTRALINE.HCL_TAB.100MG",40,1,1,0,1,"PIS"
"SERTRALINE.HCL_TAB.50MG",40,1,1,0,1,"PIS"
"MIRTAZAPINE_TAB.30MG",39,2,0.5,0.000176335743255158,2,"PIS"
"MIRTAZAPINE_TAB.15MG",39,1,0.333333333333333,0,1,"PIS"
"MIRTAZAPINE_TAB.45MG",39,1,0.333333333333333,0,1,"PIS"
"IBUPROFEN_TAB.400MG",38,1,1,0,1,"PIS"
"PARACET_TAB.500MG",38,1,1,0,1,"PIS"
"DIAZEPAM_TAB.2MG",37,1,1,0,1,"PIS"
"DIAZEPAM_TAB.5MG",37,1,1,0,1,"PIS"
"CLARITHROMYCIN_TAB.250MG",36,0,NA,0,0,"PIS"
"T401_POISONING.BY.HEROIN",35,2,0.5,0.000176335743255158,2,"SMR"
"X429_ACC.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.NEC.IN.UNSPECIFIED.PLACE",35,1,0.333333333333333,0,1,"SMR"
"X629_INTENT.SELF.POISONING.BY.NARCOTICS.PSYCHODYSLEPTICS.IN.UNSPECIFIED.PLACE",35,1,0.333333333333333,0,1,"SMR"
"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",34,3,0.2,0.000881678716275789,3,"SMR"
"T424_POISONING.BY.BENZODIAZEPINES",34,2,0.166666666666667,0.000529007229765473,2,"SMR"
"T403_POISONING.BY.METHADONE",34,1,0.111111111111111,0,1,"SMR"
"T426_POISONING.BY.OTHER.ANTIEPILEPTIC.AND.SEDATIVE.HYPNOTIC.DRUGS",34,1,0.125,0,1,"SMR"
"T432_POISONING.BY.OTHER.AND.UNSPECIFIED.ANTIDEPRESSANTS",34,1,0.125,0,1,"SMR"
"T391_POISONING.BY.4.AMINOPHENOL.DERIVATIVES",33,3,0.2,0.000881678716275789,3,"SMR"
"Z915_PERSONAL.HISTORY.OF.SELF.HARM",33,2,0.166666666666667,0.000529007229765473,2,"SMR"
"F329_DEPRESSIVE.EPISODE..UNSPECIFIED",33,1,0.111111111111111,0,1,"SMR"
