"condition","value"
"breakdown_rse",1
"illhealth_rse",2
"alcohol_use_problem",3
"no_known_treatment_aa",4
"gp_cha",5
"statutory_addiction_service_cha",6
"alcohol_services_chnd",7
"alcohol_consumption_edu",13
"injecting_edu",14
"amphetamines_idu",21
"cannabis_idu",22
"diazepam_non_prescribed_idu",24
"ecstasy_mdma_idu",25
"heroin_idu",26
"no_known_medical_conditions_mc",33
"diazepam_op",35
"anxiety_pc",36
"alcohol_td",41
"cannabis_td",42
"dihydrocodeine_td",46
"heroin_morphine_td",47
"tramadol_td",53
"T424_POISONING.BY.BENZODIAZEPINES",55
"AMOXICILLIN_CAP.500MG",58
"DIAZEPAM_TAB.2MG",59
"DIAZEPAM_TAB.5MG",60
"DICLOFENAC.SOD_TAB.E.C.50MG",61
"DIHYDROCODEINE.TART_TAB.30MG",62
"FLUCLOX.SOD_CAP.500MG",63
"FLUOXETINE.HCL_CAP.20MG",64
"IBUPROFEN_TAB.400MG",65
"OMEPRAZOLE_CAP.E.C.20MG",68
"PARACET_TAB.500MG",69
"TRAMADOL.HCL_CAP.50MG",70
"ZOPICLONE_TAB.7.5MG",71
"CO.CODAMOL_TAB.30MG.500MG",73
"METHADONE.HCL_MIX.1MG.1ML",74
"AMOXICILLIN_CAP.250MG",77
"CLARITHROMYCIN_TAB.500MG",78
"TEMAZEPAM_TAB.10MG",79
