"subsystem","nb_of_factors","factor_rank","factor","degree","betweenness"
"59",26,1,"CANESTEN_COMBI.PESS.500MG.CRM.2.",4,0
"59",26,2,"DIHYDROCODEINE.TART_TAB.30MG",3,0
"59",26,3,"PEPTAC_LIQ..PEPPERMINT..S.F",3,0
"59",26,4,"CITALOPRAM.HYDROB_TAB.10MG",3,0
"59",26,5,"CITALOPRAM.HYDROB_TAB.20MG",3,0
"72",21,1,"T424_POISONING.BY.BENZODIAZEPINES",5,0
"72",21,2,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE",5,0
"72",21,3,"T402_POISONING.BY.OTHER.OPIOIDS",4,0
"72",21,4,"T403_POISONING.BY.METHADONE",4,0
"72",21,5,"T401_POISONING.BY.HEROIN",4,0
"60",18,1,"ZOPICLONE_TAB.7.5MG",5,0
"60",18,2,"DIAZEPAM_TAB.5MG",4,0
"60",18,3,"LAMOTRIGINE_TAB.25MG",3,0
"60",18,4,"K921_MELAENA",2,0
"60",18,5,"IBUPROFEN_TAB.400MG",2,0
"56",18,1,"SPIRONOL_TAB.100MG",4,0
"56",18,2,"K709_ALCOHOLIC.LIVER.DISEASE..UNSPECIFIED",3,0
"56",18,3,"VIT.B.CO.STRONG_TAB",3,0
"56",18,4,"CHLORDIAZEPOX.HCL_CAP.10MG",3,0
"56",18,5,"F102_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.ALCOHOL.DEPENDENCE.SYNDROME",2,0
"54",18,1,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME",7,0.01
"54",18,2,"B182_CHRONIC.VIRAL.HEPATITIS.C",3,0
"54",18,3,"X659_INTENT.SELF.POISONING.BY.EXPOSURE.TO.ALCOHOL.IN.UNSPECIFIED.PLACE",3,0
"54",18,4,"hepatitis_c_mc",2,0
"54",18,5,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS",2,0
"46",15,1,"living_alone_lww",6,0
"46",15,2,"homeless_accomodation_lw",4,0
"46",15,3,"own_home_lw",4,0
"46",15,4,"relative_s_home_lw",4,0
"46",15,5,"with_spouse_partner_lww",4,0
"19",13,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF",5,0
"19",13,2,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION",2,0
"19",13,3,"J459_ASTHMA..UNSPECIFIED",2,0
"19",13,4,"D649_ANAEMIA..UNSPECIFIED",2,0
"19",13,5,"DIMETICONE_LOT.4.",2,0
"93",12,1,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE",4,0
"93",12,2,"S009_SUPERFICIAL.INJURY.OF.HEAD..PART.UNSPECIFIED",3,0
"93",12,3,"S099_UNSPECIFIED.INJURY.OF.HEAD",3,0
"93",12,4,"F103_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.WITHDRAWAL.OF.ALCOHOL",2,0
"93",12,5,"Z045_EXAMINATION.AND.OBSERVATION.FOLLOWING.OTHER.INFLICTED.INJURY",2,0
"58",12,1,"AMITRIPTYLINE.HCL_TAB.10MG",4,0
"58",12,2,"amitriptyline_op",2,0
"58",12,3,"AMITRIPTYLINE.HCL_TAB.25MG",2,0
"58",12,4,"PREDNISOLONE_TAB.5MG",2,0
"58",12,5,"TERBINAFINE.HCL_TAB.250MG",2,0
"146",11,1,"PREGABALIN_CAP.150MG",4,0
"146",11,2,"PREGABALIN_CAP.100MG",4,0
"146",11,3,"LYRICA_CAP.150MG",3,0
"146",11,4,"PREGABALIN_CAP.50MG",3,0
"146",11,5,"LYRICA_CAP.300MG",2,0
"53",11,1,"G409_EPILEPSY..UNSPECIFIED",3,0
"53",11,2,"I10X_ESSENTIAL..PRIMARY..HYPERTENSION",2,0
"53",11,3,"I209_ANGINA.PECTORIS..UNSPECIFIED",2,0
"53",11,4,"SIMVASTATIN_TAB.40MG",2,0
"53",11,5,"CLOPIDOGREL_TAB.75MG",2,0
"116",10,1,"GAVISCON.ADVANCE_LIQ..ANISEED..S.F",3,0
"116",10,2,"GAVISCON.ADVANCE_LIQ..PEPPERMINT..S.F",3,0
"116",10,3,"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG",2,0
"116",10,4,"WARFARIN.SOD_TAB.1MG",2,0
"116",10,5,"GAVISCON_LIQ.RELIEF.PEPPERMINT",2,0
"95",10,1,"T391_POISONING.BY.4.AMINOPHENOL.DERIVATIVES",3,0
"95",10,2,"X609_SELF.POISON.BY.NONOPIOID.ANALGES.ANTIPYRET.ANTIRHEUM.IN.UNSPEC.PLACE",3,0
