"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","1",16,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"12","1",16,2,"Quality of treatment planning","6","0.01"
"23","1",16,3,"Service Quality","6","0.03"
"34","1",16,4,"Workforce development","4","0.02"
"45","1",16,5,"Poor treatment of PWUD","4","0.01"
"2","4",13,1,"Peer relationships","6","0.02"
"13","4",13,2,"Drug type","6","0.03"
"24","4",13,3,"Exposure to drugs","5","0.03"
"35","4",13,4,"Public versus private drug taking","5","0.02"
"46","4",13,5,"Knowledge of drugs and risk among general public","4","0.03"
"3","8",12,1,"Drug related death","7","0.03"
"14","8",12,2,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"25","8",12,3,"Attitude to risk","6","0.03"
"36","8",12,4,"Risk of harm occurring while using drugs","5","0.02"
"47","8",12,5,"Poly drug use","5","0.02"
"4","3",10,1,"Poverty","14","0.12"
"15","3",10,2,"Positive future aspirations","11","0.09"
"26","3",10,3,"Contact with criminaljustice system","9","0.04"
"37","3",10,4,"Traumatising experiences","6","0.01"
"48","3",10,5,"Social inclusion","5","0.02"
"6","7",8,1,"Trusting community relationships","12","0.15"
"17","7",8,2,"Trusting family relationships","7","0.02"
"28","7",8,3,"Recovery capital","5","0.02"
"39","7",8,4,"Practical support","3","0"
"50","7",8,5,"Community hubs","1","0"
"5","2",8,1,"Attending services","9","0.05"
"16","2",8,2,"Retention in services","6","0.02"
"27","2",8,3,"Collaboration between services","5","0.01"
"38","2",8,4,"Missed appointments","5","0.01"
"49","2",8,5,"Treatment expectations","4","0.01"
"8","9",7,1,"Mental health and wellbeing","17","0.17"
"19","9",7,2,"Initiation of drug use","8","0.04"
"30","9",7,3,"Physical health","8","0.03"
"41","9",7,4,"Drug use as coping mechanism","4","0.02"
"52","9",7,5,"Heart & lung health","4","0.01"
"7","5",7,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"18","5",7,2,"Availability of services","5","0.02"
"29","5",7,3,"Harm reductioninterventions","4","0.01"
"40","5",7,4,"Relative value of professional versus peer evidence","3","0.01"
"51","5",7,5,"Lived experience representation in policy","3","0"
"10","10",6,1,"Control and regularityof substance use","10","0.1"
"21","10",6,2,"Continueduse of drugs","7","0.04"
"32","10",6,3,"Drug tolerance","4","0.02"
"43","10",6,4,"Medication","3","0.01"
"54","10",6,5,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"9","6",6,1,"Criminalisationof drugs","12","0.11"
"20","6",6,2,"Availability of drugs","7","0.03"
"31","6",6,3,"Cost of drugs","3","0"
"42","6",6,4,"Profit in illicit drugs trade","3","0"
"53","6",6,5,"Exploitation ","2","0.01"
"11","11",5,1,"Feeling safe","6","0.04"
"22","11",5,2,"Homelessness","6","0.03"
"33","11",5,3,"Housing Policy","3","0.01"
"44","11",5,4,"Quality of housing","3","0"
"55","11",5,5,"Risk ofcrime victimisation","3","0"
