"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","2",8,1,"Attending services","9","0.05"
"23","2",8,2,"Retention in services","6","0.02"
"45","2",8,3,"Collaboration between services","5","0.01"
"67","2",8,4,"Missed appointments","5","0.01"
"89","2",8,5,"Treatment expectations","4","0.01"
"5","18",6,1,"Control and regularityof substance use","10","0.1"
"27","18",6,2,"Continueduse of drugs","7","0.04"
"49","18",6,3,"Drug tolerance","4","0.02"
"71","18",6,4,"Medication","3","0.01"
"93","18",6,5,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"4","17",6,1,"Initiation of drug use","8","0.04"
"26","17",6,2,"Physical health","8","0.03"
"48","17",6,3,"Drug use as coping mechanism","4","0.02"
"70","17",6,4,"Age","4","0.01"
"92","17",6,5,"Frailty","3","0"
"3","7",6,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"25","7",6,2,"Poor treatment of PWUD","4","0.01"
"47","7",6,3,"Occurrence of stigmatising language and behaviour","4","0"
"69","7",6,4,"Negative public perceptionsof PWUD","3","0"
"91","7",6,5,"Stigmatising reporting in the media","2","0"
"2","6",6,1,"Criminalisationof drugs","12","0.11"
"24","6",6,2,"Availability of drugs","7","0.03"
"46","6",6,3,"Cost of drugs","3","0"
"68","6",6,4,"Profit in illicit drugs trade","3","0"
"90","6",6,5,"Exploitation ","2","0.01"
"11","19",5,1,"Feeling safe","6","0.04"
"33","19",5,2,"Homelessness","6","0.03"
"55","19",5,3,"Housing Policy","3","0.01"
"77","19",5,4,"Quality of housing","3","0"
"99","19",5,5,"Risk ofcrime victimisation","3","0"
"10","15",5,1,"Peer relationships","6","0.02"
"32","15",5,2,"Lone versus groupsubstance use","4","0.02"
"54","15",5,3,"Drug toxicity","3","0.01"
"76","15",5,4,"Access to safe supply of drugs","3","0.01"
"98","15",5,5,"Drug poisoning","3","0.01"
"9","10",5,1,"Trusting community relationships","12","0.15"
"31","10",5,2,"Community hubs","1","0"
"53","10",5,3,"Recovery cafes","1","0"
"75","10",5,4,"Warm spaces","1","0"
"97","10",5,5,"Inclusive community activities","1","0"
"8","5",5,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"30","5",5,2,"Availability of services","5","0.02"
"52","5",5,3,"Harm reductioninterventions","4","0.01"
"74","5",5,4,"ADP funding","3","0"
"96","5",5,5,"International evidence","1","0"
"7","4",5,1,"Social inclusion","5","0.02"
"29","4",5,2,"Public versus private drug taking","5","0.02"
"51","4",5,3,"Quality of life","3","0"
"73","4",5,4,"Hiding substance use from others","3","0.01"
"95","4",5,5,"Positive self  presentation of PWUD","2","0"
"6","1",5,1,"Service Quality","6","0.03"
"28","1",5,2,"Workforce development","4","0.02"
"50","1",5,3,"Quality of patient/servicerelationship","4","0.01"
"72","1",5,4,"Pressure on services","3","0"
"94","1",5,5,"Level of localhealth need","2","0"
"15","22",4,1,"Drug related death","7","0.03"
"37","22",4,2,"Risk of harm occurring while using drugs","5","0.02"
"59","22",4,3,"Poly drug use","5","0.02"
"81","22",4,4,"Near fatal overdose","2","0"
"103","22",4,5,"NA","NA","NA"
"14","12",4,1,"Value placed on peer workers","3","0.01"
"36","12",4,2,"Representation of lived/living experience of substance use in organisations","3","0"
"58","12",4,3,"Peer workers perceived as lower grade/status by staff","2","0.01"
"80","12",4,4,"Peer worker pay differential","2","0"
"102","12",4,5,"NA","NA","NA"
"13","8",4,1,"Poverty","14","0.12"
"35","8",4,2,"Contact with criminaljustice system","9","0.04"
"57","8",4,3,"Traumatising experiences","6","0.01"
"79","8",4,4,"Social Security Policy","2","0"
"101","8",4,5,"NA","NA","NA"
"12","3",4,1,"Positive future aspirations","11","0.09"
"34","3",4,2,"Internalised stigma","4","0.02"
"56","3",4,3,"Employment opportunities","3","0"
"78","3",4,4,"Self worth","3","0"
"100","3",4,5,"NA","NA","NA"
"21","21",3,1,"Attitude to risk","6","0.03"
"43","21",3,2,"Drug use forpleasure/recreation","3","0.01"
"65","21",3,3,"Gender","1","0"
"87","21",3,4,"NA","NA","NA"
"109","21",3,5,"NA","NA","NA"
"20","16",3,1,"Mental health and wellbeing","17","0.17"
"42","16",3,2,"Heart & lung health","4","0.01"
"64","16",3,3,"Sedatives","3","0"
"86","16",3,4,"NA","NA","NA"
"108","16",3,5,"NA","NA","NA"
"19","14",3,1,"Trusting family relationships","7","0.02"
"41","14",3,2,"Recovery capital","5","0.02"
"63","14",3,3,"Practical support","3","0"
"85","14",3,4,"NA","NA","NA"
"107","14",3,5,"NA","NA","NA"
"18","13",3,1,"Knowledge of drugs and risk among general public","4","0.03"
"40","13",3,2,"Alarm raising","4","0.01"
"62","13",3,3,"Life-saving activity","3","0.01"
"84","13",3,4,"NA","NA","NA"
"106","13",3,5,"NA","NA","NA"
"17","11",3,1,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"39","11",3,2,"Education on substance use and associated harms","3","0"
"61","11",3,3,"Evidence-baseddrug education in schools","2","0"
"83","11",3,4,"NA","NA","NA"
"105","11",3,5,"NA","NA","NA"
"16","9",3,1,"Quality of treatment planning","6","0.01"
"38","9",3,2,"Relative value of professional versus peer evidence","3","0.01"
"60","9",3,3,"Lived experience representation in policy","3","0"
"82","9",3,4,"NA","NA","NA"
"104","9",3,5,"NA","NA","NA"
"22","20",2,1,"Drug type","6","0.03"
"44","20",2,2,"Exposure to drugs","5","0.03"
"66","20",2,3,"NA","NA","NA"
"88","20",2,4,"NA","NA","NA"
"110","20",2,5,"NA","NA","NA"
