"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","42",42,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"111","42",42,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"221","42",42,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"331","42",42,4,"T401_POISONING.BY.HEROIN","9","0.03"
"441","42",42,5,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"2","35",41,1,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"112","35",41,2,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"222","35",41,3,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"332","35",41,4,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"442","35",41,5,"Y044_ASSAULT.BY.BODILY.FORCE.IN.ROAD","9","0.01"
"3","2",40,1,"lw_own_home","14","0.01"
"113","2",40,2,"cp_methadone","13","0.03"
"223","2",40,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"333","2",40,4,"lw_homeless_accomodation","11","0"
"443","2",40,5,"lw_supported_accomodation","10","0"
"4","13",38,1,"R11X_NAUSEA.AND.VOMITING","7","0.01"
"114","13",38,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC","6","0.01"
"224","13",38,3,"METFORMIN.HCL_TAB.500MG","6","0.01"
"334","13",38,4,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN","5","0.01"
"444","13",38,5,"mc_diabetes","4","0"
"5","8",37,1,"GABAPENTIN_CAP.300MG","9","0.02"
"115","8",37,2,"op_mirtazapine","8","0.01"
"225","8",37,3,"td_gabapentin","8","0.01"
"335","8",37,4,"td_pregabalin","8","0.01"
"445","8",37,5,"op_amitriptyline","7","0.01"
"7","14",34,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"117","14",34,2,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"227","14",34,3,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
"337","14",34,4,"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB","7","0.01"
"447","14",34,5,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK","7","0.01"
"6","1",34,1,"cha_prison_healthcare","10","0.01"
"116","1",34,2,"cha_gp","9","0.02"
"226","1",34,3,"cha_a_e","8","0.01"
"336","1",34,4,"sod_naloxone_take_home","7","0.01"
"446","1",34,5,"cha_psychiatric_services","7","0.01"
"8","30",31,1,"PREGABALIN_CAP.150MG","6","0.01"
"118","30",31,2,"PREGABALIN_CAP.200MG","5","0.01"
"228","30",31,3,"DULOXETINE.HCL_CAP.G.R.60MG","4","0.01"
"338","30",31,4,"LYRICA_CAP.150MG","4","0.01"
"448","30",31,5,"LYRICA_CAP.300MG","4","0"
"9","54",30,1,"ASPIRIN.DISPER_TAB.75MG","8","0.01"
"119","54",30,2,"CLOPIDOGREL_TAB.75MG","6","0.02"
"229","54",30,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.","6","0.02"
"339","54",30,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED","5","0"
