"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","47",37,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"120","47",37,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"239","47",37,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"358","47",37,4,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"477","47",37,5,"T432_POISONING.BY.OTHER.AND.UNSPECIFIED.ANTIDEPRESSANTS","8","0.02"
"2","18",34,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"121","18",34,2,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"240","18",34,3,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
"359","18",34,4,"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB","7","0.01"
"478","18",34,5,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK","7","0.01"
"3","35",31,1,"PREGABALIN_CAP.150MG","6","0.01"
"122","35",31,2,"PREGABALIN_CAP.200MG","5","0.01"
"241","35",31,3,"DULOXETINE.HCL_CAP.G.R.60MG","4","0.01"
"360","35",31,4,"LYRICA_CAP.150MG","4","0.01"
"479","35",31,5,"LYRICA_CAP.300MG","4","0"
"4","50",30,1,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"123","50",30,2,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"242","50",30,3,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"361","50",30,4,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"480","50",30,5,"Y044_ASSAULT.BY.BODILY.FORCE.IN.ROAD","9","0.01"
"6","28",29,1,"op_diazepam","9","0.02"
"125","28",29,2,"td_diazepam","9","0.02"
"244","28",29,3,"td_nordiazepam","8","0.01"
"363","28",29,4,"td_dihydrocodeine","7","0.01"
"482","28",29,5,"DIAZEPAM_TAB.5MG","7","0.02"
"5","4",29,1,"chnd_mental_health_services","7","0.02"
"124","4",29,2,"OLANZAPINE_TAB.10MG","7","0.01"
"243","4",29,3,"pc_anxiety","6","0.01"
"362","4",29,4,"pc_bi_polar_disorder","6","0.01"
"481","4",29,5,"td_olanzapine","6","0.01"
"7","26",28,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF","13","0.04"
"126","26",28,2,"PREDNISOLONE_TAB.5MG","6","0.02"
"245","26",28,3,"CLENIL.MODULITE_INHA.100MCG..200D.","6","0"
"364","26",28,4,"J459_ASTHMA..UNSPECIFIED","5","0"
"483","26",28,5,"ERYTHROMYCIN_TAB.E.C.250MG","5","0.01"
"10","64",27,1,"ASPIRIN.DISPER_TAB.75MG","8","0.01"
"129","64",27,2,"CLOPIDOGREL_TAB.75MG","6","0.02"
"248","64",27,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.","6","0.02"
"367","64",27,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED","5","0"
"486","64",27,5,"GLYCERYL.TRINIT_A.SPY.400MCG.200D.CFF","5","0"
"9","52",27,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","14","0.02"
"128","52",27,2,"X789_INTENT.SELF.HARM.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","9","0.02"
"247","52",27,3,"S610_OPEN.WOUND.OF.FINGER.S..WITHOUT.DAMAGE.TO.NAIL","6","0.01"
"366","52",27,4,"S519_OPEN.WOUND.OF.FOREARM..PART.UNSPECIFIED","5","0.01"
"485","52",27,5,"S619_OPEN.WOUND.OF.WRIST.AND.HAND..PART.UNSPECIFIED","5","0"
"8","45",27,1,"QUETIAPINE_TAB.25MG","6","0.01"
"127","45",27,2,"QUETIAPINE_TAB.200MG","6","0.01"
"246","45",27,3,"Z915_PERSONAL.HISTORY.OF.SELF.HARM","5","0.01"
"365","45",27,4,"QUETIAPINE_TAB.100MG","5","0.01"
"484","45",27,5,"QUETIAPINE_TAB.300MG","5","0.01"
"11","65",26,1,"FLUCLOX.SOD_CAP.500MG","7","0.02"
"130","65",26,2,"PROPRANOLOL.HCL_CAP.80MG.M.R","7","0.02"
"249","65",26,3,"SAVLON_ANTIS.CRM","5","0.01"
"368","65",26,4,"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG","5","0.01"
"487","65",26,5,"METRONIDAZOLE_TAB.400MG","4","0.01"
"12","31",25,1,"R11X_NAUSEA.AND.VOMITING","7","0.01"
"131","31",25,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC","6","0.01"
"250","31",25,3,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN","5","0.01"
"369","31",25,4,"T814_INFECTION.FOLLOWING.A.PROCEDURE..NOT.ELSEWHERE.CLASSIFIED","4","0"
"488","31",25,5,"Y838_ABNORMAL.REACTION.TO.OR.LATER.COMPLICATION.OF.OTHER.SURGICAL.PROCEDURES","3","0"
"13","62",24,1,"FERR.SULF_TAB.200MG","6","0.01"
"132","62",24,2,"I849_UNSPECIFIED.HAEMORRHOIDS.WITHOUT.COMPLICATION","5","0.01"
"251","62",24,3,"D509_IRON.DEFICIENCY.ANAEMIA..UNSPECIFIED","5","0.02"
"370","62",24,4,"FERR.FUMAR_TAB.210MG","5","0.01"
"489","62",24,5,"FOLIC.ACID_TAB.5MG","4","0.01"
"17","80",22,1,"FLUCONAZOLE_CAP.150MG","7","0.01"
"136","80",22,2,"CLOTRIMAZOLE_PESS.500MG","7","0.02"
"255","80",22,3,"LOPERAMIDE.HCL_CAP.2MG","6","0.02"
"374","80",22,4,"CLOTRIMAZOLE_CRM.1.","5","0.01"
"493","80",22,5,"HEDRIN_LOT.4.","4","0"
"16","56",22,1,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION","7","0.02"
"135","56",22,2,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG","6","0.01"
"254","56",22,3,"J449_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE..UNSPECIFIED","5","0.01"
"373","56",22,4,"SALBUTAMOL_INH.SOLN.2.5MG.2.5ML.UD","5","0"
"492","56",22,5,"J441_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.EXACERBATION..UNSPECIFIED","4","0.01"
"15","27",22,1,"CITALOPRAM.HYDROB_TAB.10MG","6","0.01"
"134","27",22,2,"CITALOPRAM.HYDROB_TAB.20MG","6","0.01"
"253","27",22,3,"R103_PAIN.LOCALIZED.TO.OTHER.PARTS.OF.LOWER.ABDOMEN","5","0.01"
"372","27",22,4,"CITALOPRAM.HYDROB_TAB.40MG","4","0"
"491","27",22,5,"PRECONCEIVE_FOLIC.ACID.TAB.400MCG","4","0.01"
"14","11",22,1,"lw_own_home","14","0.01"
"133","11",22,2,"cp_methadone","13","0.03"
"252","11",22,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"371","11",22,4,"td_etizolam","11","0.01"
"490","11",22,5,"pdu_others_home","10","0.01"
"23","49",21,1,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.","9","0.03"
"142","49",21,2,"CHLORAMPHEN_EYE.DPS.0.5.","5","0.01"
"261","49",21,3,"HYPROMELLOSE_EYE.DPS.0.3.","5","0.01"
"380","49",21,4,"ENSURE.PLUS_TUBE.FEED.LIQ.VANILLA","4","0"
"499","49",21,5,"VISCOTEARS_LIQ.GEL.2MG.G","4","0.01"
"22","36",21,1,"SIMPLE_LINCT.S.F","7","0.01"
"141","36",21,2,"DRESSIT.STER.DRESS.PACK","5","0.01"
"260","36",21,3,"MICROPORE.2.5CM.X.5M.SURG.ADH.TAPE.PERM.NON.WOV.SYN","4","0"
"379","36",21,4,"TRAZODONE.HCL_CAP.50MG","4","0"
"498","36",21,5,"DIFFLAM_P.SPY.0.15..30ML","4","0.01"
