"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","33",68,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","14","0.02"
"98","33",68,2,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"195","33",68,3,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"292","33",68,4,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"389","33",68,5,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"2","39",54,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"99","39",54,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"196","39",54,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"293","39",54,4,"T401_POISONING.BY.HEROIN","9","0.03"
"390","39",54,5,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"3","2",43,1,"lw_own_home","14","0.01"
"100","2",43,2,"cp_methadone","13","0.03"
"197","2",43,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"294","2",43,4,"lw_homeless_accomodation","11","0"
"391","2",43,5,"td_etizolam","11","0.01"
"4","14",41,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"101","14",41,2,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"198","14",41,3,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
