"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","2",43,1,"lw_own_home","14","0.01"
"112","2",43,2,"cp_methadone","13","0.03"
"223","2",43,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"334","2",43,4,"lw_homeless_accomodation","11","0"
"445","2",43,5,"td_etizolam","11","0.01"
"2","38",41,1,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"113","38",41,2,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"224","38",41,3,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"335","38",41,4,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"446","38",41,5,"Y044_ASSAULT.BY.BODILY.FORCE.IN.ROAD","9","0.01"
"3","44",40,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"114","44",40,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"225","44",40,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"336","44",40,4,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"447","44",40,5,"T432_POISONING.BY.OTHER.AND.UNSPECIFIED.ANTIDEPRESSANTS","8","0.02"
"4","16",34,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"115","16",34,2,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"226","16",34,3,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
"337","16",34,4,"L024_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.LIMB","7","0.01"
"448","16",34,5,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK","7","0.01"
"5","24",33,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF","13","0.04"
"116","24",33,2,"AMOXICILLIN_CAP.500MG","6","0.02"
"227","24",33,3,"OMEPRAZOLE_CAP.E.C.20MG","6","0.04"
"338","24",33,4,"PREDNISOLONE_TAB.5MG","6","0.02"
"449","24",33,5,"CLENIL.MODULITE_INHA.100MCG..200D.","6","0"
"7","34",31,1,"PREGABALIN_CAP.150MG","6","0.01"
"118","34",31,2,"PREGABALIN_CAP.200MG","5","0.01"
"229","34",31,3,"DULOXETINE.HCL_CAP.G.R.60MG","4","0.01"
"340","34",31,4,"LYRICA_CAP.150MG","4","0.01"
"451","34",31,5,"LYRICA_CAP.300MG","4","0"
"6","1",31,1,"cha_prison_healthcare","10","0.01"
"117","1",31,2,"cha_gp","9","0.02"
"228","1",31,3,"cha_a_e","8","0.01"
"339","1",31,4,"sod_naloxone_take_home","7","0.01"
"450","1",31,5,"cha_psychiatric_services","7","0.01"
"8","57",30,1,"ASPIRIN.DISPER_TAB.75MG","8","0.01"
"119","57",30,2,"CLOPIDOGREL_TAB.75MG","6","0.02"
"230","57",30,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.","6","0.02"
"341","57",30,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED","5","0"
"452","57",30,5,"ADCAL.D3_TAB.CHBLE..TUTTI.FRUTTI.","5","0.02"
"9","59",29,1,"DOMPERIDONE_TAB.10MG","7","0.02"
"120","59",29,2,"FYBOGEL_GRAN.SACH.3.5G.ORANGE.G.F.S.F","6","0.01"
"231","59",29,3,"PEPTAC_LIQ..PEPPERMINT..S.F","5","0.02"
"342","59",29,4,"MUCODYNE_CAP.375MG","5","0.01"
"453","59",29,5,"CIPROFLOXACIN_TAB.250MG","4","0.01"
"10","46",28,1,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.","9","0.03"
"121","46",28,2,"CHLORAMPHEN_EYE.DPS.0.5.","5","0.01"
"232","46",28,3,"HYPROMELLOSE_EYE.DPS.0.3.","5","0.01"
"343","46",28,4,"AIROMIR_AUTOHALER.100MCG..200.D..CFF","4","0.01"
"454","46",28,5,"ENSURE.PLUS_TUBE.FEED.LIQ.VANILLA","4","0"
"11","48",27,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","14","0.02"
"122","48",27,2,"X789_INTENT.SELF.HARM.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","9","0.02"
"233","48",27,3,"S610_OPEN.WOUND.OF.FINGER.S..WITHOUT.DAMAGE.TO.NAIL","6","0.01"
"344","48",27,4,"S519_OPEN.WOUND.OF.FOREARM..PART.UNSPECIFIED","5","0.01"
"455","48",27,5,"S619_OPEN.WOUND.OF.WRIST.AND.HAND..PART.UNSPECIFIED","5","0"
"12","47",26,1,"MST.CONTINUS_TAB.10MG","7","0.02"
"123","47",26,2,"I849_UNSPECIFIED.HAEMORRHOIDS.WITHOUT.COMPLICATION","5","0.01"
"234","47",26,3,"ORAMORPH_ORAL.SOLN.10MG.5ML","5","0.01"
"345","47",26,4,"R194_CHANGE.IN.BOWEL.HABIT","4","0.01"
"456","47",26,5,"ANUSOL.HC_OINT","4","0.01"
"16","74",25,1,"CETIRIZINE.HCL_TAB.10MG","9","0.01"
"127","74",25,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.","8","0.02"
"238","74",25,3,"MOMETASONE.FUR_CRM.0.1.","4","0.01"
"349","74",25,4,"CHLORPHENAMINE.MAL_TAB.4MG","3","0"
"460","74",25,5,"BETNOVATE_CRM.0.1.","3","0.01"
"15","30",25,1,"R11X_NAUSEA.AND.VOMITING","7","0.01"
"126","30",25,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC","6","0.01"
"237","30",25,3,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN","5","0.01"
"348","30",25,4,"T814_INFECTION.FOLLOWING.A.PROCEDURE..NOT.ELSEWHERE.CLASSIFIED","4","0"
"459","30",25,5,"Y838_ABNORMAL.REACTION.TO.OR.LATER.COMPLICATION.OF.OTHER.SURGICAL.PROCEDURES","3","0"
"14","26",25,1,"op_diazepam","9","0.02"
"125","26",25,2,"td_diazepam","9","0.02"
"236","26",25,3,"td_nordiazepam","8","0.01"
"347","26",25,4,"td_dihydrocodeine","7","0.01"
"458","26",25,5,"DIAZEPAM_TAB.5MG","7","0.02"
"13","4",25,1,"chnd_mental_health_services","7","0.02"
"124","4",25,2,"OLANZAPINE_TAB.10MG","7","0.01"
"235","4",25,3,"pc_bi_polar_disorder","6","0.01"
"346","4",25,4,"td_olanzapine","6","0.01"
"457","4",25,5,"F209_SCHIZOPHRENIA..UNSPECIFIED","6","0.02"
"18","36",24,1,"VENLAFAXINE_CAP.75MG.M.R","7","0.02"
"129","36",24,2,"MICONAZOLE_OROMUCOSAL.GEL.20MG.G.S.F","5","0.01"
"240","36",24,3,"TRANEXAMIC.ACID_TAB.500MG","4","0.01"
"351","36",24,4,"VOLUMATIC","4","0.01"
"462","36",24,5,"DAKTARIN_OROMUCOSAL.GEL.20MG.G.S.F","3","0.01"
"17","7",24,1,"THIAMINE.HCL_TAB.100MG","11","0.07"
"128","7",24,2,"chnd_alcohol_services","8","0.01"
"239","7",24,3,"aa_no_known_treatment","7","0.02"
"350","7",24,4,"aa_vitamin_supplements","7","0.02"
"461","7",24,5,"VIT.B.CO.STRONG_TAB","6","0.03"
"20","54",23,1,"CHLORPROMAZINE.HCL_TAB.50MG","6","0.01"
"131","54",23,2,"ORLISTAT_CAP.120MG","5","0.01"
"242","54",23,3,"CHLORPROMAZINE.HCL_TAB.25MG","5","0.02"
