"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","2",8,1,"Attending services","9","0.05"
"27","2",8,2,"Retention in services","6","0.02"
"53","2",8,3,"Collaboration between services","5","0.01"
"79","2",8,4,"Missed appointments","5","0.01"
"105","2",8,5,"Treatment expectations","4","0.01"
"3","24",6,1,"Drug tolerance","4","0.02"
"29","24",6,2,"Medication","3","0.01"
"55","24",6,3,"Drug toxicity","3","0.01"
"81","24",6,4,"Access to safe supply of drugs","3","0.01"
"107","24",6,5,"Drug poisoning","3","0.01"
"2","7",6,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"28","7",6,2,"Poor treatment of PWUD","4","0.01"
"54","7",6,3,"Occurrence of stigmatising language and behaviour","4","0"
"80","7",6,4,"Negative public perceptionsof PWUD","3","0"
"106","7",6,5,"Stigmatising reporting in the media","2","0"
"8","21",5,1,"Feeling safe","6","0.04"
"34","21",5,2,"Homelessness","6","0.03"
"60","21",5,3,"Housing Policy","3","0.01"
"86","21",5,4,"Quality of housing","3","0"
"112","21",5,5,"Risk ofcrime victimisation","3","0"
"7","10",5,1,"Trusting community relationships","12","0.15"
"33","10",5,2,"Community hubs","1","0"
"59","10",5,3,"Recovery cafes","1","0"
"85","10",5,4,"Warm spaces","1","0"
"111","10",5,5,"Inclusive community activities","1","0"
"6","5",5,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"32","5",5,2,"Quality of treatment planning","6","0.01"
"58","5",5,3,"Relative value of professional versus peer evidence","3","0.01"
"84","5",5,4,"Lived experience representation in policy","3","0"
"110","5",5,5,"International evidence","1","0"
"5","4",5,1,"Social inclusion","5","0.02"
"31","4",5,2,"Public versus private drug taking","5","0.02"
"57","4",5,3,"Quality of life","3","0"
"83","4",5,4,"Hiding substance use from others","3","0.01"
"109","4",5,5,"Positive self  presentation of PWUD","2","0"
"4","1",5,1,"Service Quality","6","0.03"
"30","1",5,2,"Workforce development","4","0.02"
"56","1",5,3,"Quality of patient/servicerelationship","4","0.01"
"82","1",5,4,"Pressure on services","3","0"
"108","1",5,5,"Level of localhealth need","2","0"
"12","23",4,1,"Drug related death","7","0.03"
"38","23",4,2,"Age","4","0.01"
"64","23",4,3,"Frailty","3","0"
"90","23",4,4,"Near fatal overdose","2","0"
"116","23",4,5,"NA","NA","NA"
"11","17",4,1,"Initiation of drug use","8","0.04"
"37","17",4,2,"Physical health","8","0.03"
"63","17",4,3,"Drug use as coping mechanism","4","0.02"
"89","17",4,4,"Pain","2","0"
"115","17",4,5,"NA","NA","NA"
"10","12",4,1,"Value placed on peer workers","3","0.01"
"36","12",4,2,"Representation of lived/living experience of substance use in organisations","3","0"
"62","12",4,3,"Peer workers perceived as lower grade/status by staff","2","0.01"
"88","12",4,4,"Peer worker pay differential","2","0"
"114","12",4,5,"NA","NA","NA"
"9","6",4,1,"Criminalisationof drugs","12","0.11"
"35","6",4,2,"Availability of drugs","7","0.03"
"61","6",4,3,"Cost of drugs","3","0"
"87","6",4,4,"Profit in illicit drugs trade","3","0"
"113","6",4,5,"NA","NA","NA"
"21","25",3,1,"Attitude to risk","6","0.03"
"47","25",3,2,"Drug use forpleasure/recreation","3","0.01"
"73","25",3,3,"Gender","1","0"
"99","25",3,4,"NA","NA","NA"
"125","25",3,5,"NA","NA","NA"
"20","19",3,1,"Availability of services","5","0.02"
"46","19",3,2,"Harm reductioninterventions","4","0.01"
"72","19",3,3,"ADP funding","3","0"
"98","19",3,4,"NA","NA","NA"
"124","19",3,5,"NA","NA","NA"
"19","18",3,1,"Control and regularityof substance use","10","0.1"
"45","18",3,2,"Continueduse of drugs","7","0.04"
"71","18",3,3,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"97","18",3,4,"NA","NA","NA"
"123","18",3,5,"NA","NA","NA"
"18","16",3,1,"Mental health and wellbeing","17","0.17"
"44","16",3,2,"Heart & lung health","4","0.01"
"70","16",3,3,"Sedatives","3","0"
"96","16",3,4,"NA","NA","NA"
"122","16",3,5,"NA","NA","NA"
"17","14",3,1,"Trusting family relationships","7","0.02"
"43","14",3,2,"Recovery capital","5","0.02"
"69","14",3,3,"Practical support","3","0"
"95","14",3,4,"NA","NA","NA"
"121","14",3,5,"NA","NA","NA"
"16","13",3,1,"Knowledge of drugs and risk among general public","4","0.03"
"42","13",3,2,"Alarm raising","4","0.01"
"68","13",3,3,"Life-saving activity","3","0.01"
"94","13",3,4,"NA","NA","NA"
"120","13",3,5,"NA","NA","NA"
"15","11",3,1,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"41","11",3,2,"Education on substance use and associated harms","3","0"
