"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","1",16,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"14","1",16,2,"Quality of treatment planning","6","0.01"
"27","1",16,3,"Service Quality","6","0.03"
"40","1",16,4,"Workforce development","4","0.02"
"53","1",16,5,"Poor treatment of PWUD","4","0.01"
"3","9",10,1,"Drug related death","7","0.03"
"16","9",10,2,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"29","9",10,3,"Risk of harm occurring while using drugs","5","0.02"
"42","9",10,4,"Poly drug use","5","0.02"
"55","9",10,5,"Knowledge of drugs and risk among general public","4","0.03"
"2","4",10,1,"Peer relationships","6","0.02"
"15","4",10,2,"Drug type","6","0.03"
"28","4",10,3,"Exposure to drugs","5","0.03"
"41","4",10,4,"Public versus private drug taking","5","0.02"
"54","4",10,5,"Lone versus groupsubstance use","4","0.02"
"4","11",9,1,"Initiation of drug use","8","0.04"
"17","11",9,2,"Physical health","8","0.03"
"30","11",9,3,"Attitude to risk","6","0.03"
"43","11",9,4,"Drug use as coping mechanism","4","0.02"
"56","11",9,5,"Age","4","0.01"
"6","8",8,1,"Trusting community relationships","12","0.15"
"19","8",8,2,"Trusting family relationships","7","0.02"
"32","8",8,3,"Recovery capital","5","0.02"
"45","8",8,4,"Practical support","3","0"
"58","8",8,5,"Community hubs","1","0"
"5","2",8,1,"Attending services","9","0.05"
"18","2",8,2,"Retention in services","6","0.02"
"31","2",8,3,"Collaboration between services","5","0.01"
"44","2",8,4,"Missed appointments","5","0.01"
"57","2",8,5,"Treatment expectations","4","0.01"
"7","5",7,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"20","5",7,2,"Availability of services","5","0.02"
"33","5",7,3,"Harm reductioninterventions","4","0.01"
"46","5",7,4,"Relative value of professional versus peer evidence","3","0.01"
"59","5",7,5,"Lived experience representation in policy","3","0"
"9","12",6,1,"Control and regularityof substance use","10","0.1"
"22","12",6,2,"Continueduse of drugs","7","0.04"
"35","12",6,3,"Drug tolerance","4","0.02"
"48","12",6,4,"Medication","3","0.01"
"61","12",6,5,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"8","6",6,1,"Criminalisationof drugs","12","0.11"
"21","6",6,2,"Availability of drugs","7","0.03"
"34","6",6,3,"Cost of drugs","3","0"
"47","6",6,4,"Profit in illicit drugs trade","3","0"
"60","6",6,5,"Exploitation ","2","0.01"
"12","13",5,1,"Feeling safe","6","0.04"
"25","13",5,2,"Homelessness","6","0.03"
"38","13",5,3,"Housing Policy","3","0.01"
"51","13",5,4,"Quality of housing","3","0"
"64","13",5,5,"Risk ofcrime victimisation","3","0"
"11","7",5,1,"Poverty","14","0.12"
"24","7",5,2,"Contact with criminaljustice system","9","0.04"
"37","7",5,3,"Traumatising experiences","6","0.01"
"50","7",5,4,"Social inclusion","5","0.02"
"63","7",5,5,"Social Security Policy","2","0"
"10","3",5,1,"Positive future aspirations","11","0.09"
"23","3",5,2,"Internalised stigma","4","0.02"
"36","3",5,3,"Employment opportunities","3","0"
"49","3",5,4,"Self worth","3","0"
"62","3",5,5,"Quality of life","3","0"
"13","10",3,1,"Mental health and wellbeing","17","0.17"
"26","10",3,2,"Heart & lung health","4","0.01"
"39","10",3,3,"Sedatives","3","0"
"52","10",3,4,"NA","NA","NA"
"65","10",3,5,"NA","NA","NA"
