"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","7",9,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"17","7",9,2,"Poor treatment of PWUD","4","0.01"
"33","7",9,3,"Occurrence of stigmatising language and behaviour","4","0"
"49","7",9,4,"Negative public perceptionsof PWUD","3","0"
"65","7",9,5,"Value placed on peer workers","3","0.01"
"4","10",8,1,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"20","10",8,2,"Attitude to risk","6","0.03"
"36","10",8,3,"Risk of harm occurring while using drugs","5","0.02"
"52","10",8,4,"Poly drug use","5","0.02"
"68","10",8,5,"Education on substance use and associated harms","3","0"
"3","9",8,1,"Trusting community relationships","12","0.15"
"19","9",8,2,"Trusting family relationships","7","0.02"
"35","9",8,3,"Recovery capital","5","0.02"
"51","9",8,4,"Practical support","3","0"
"67","9",8,5,"Community hubs","1","0"
"2","2",8,1,"Attending services","9","0.05"
"18","2",8,2,"Retention in services","6","0.02"
"34","2",8,3,"Collaboration between services","5","0.01"
"50","2",8,4,"Missed appointments","5","0.01"
"66","2",8,5,"Treatment expectations","4","0.01"
"7","12",7,1,"Peer relationships","6","0.02"
"23","12",7,2,"Drug type","6","0.03"
"39","12",7,3,"Exposure to drugs","5","0.03"
"55","12",7,4,"Lone versus groupsubstance use","4","0.02"
"71","12",7,5,"Drug toxicity","3","0.01"
"6","5",7,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"22","5",7,2,"Availability of services","5","0.02"
"38","5",7,3,"Harm reductioninterventions","4","0.01"
"54","5",7,4,"Relative value of professional versus peer evidence","3","0.01"
"70","5",7,5,"Lived experience representation in policy","3","0"
"5","1",7,1,"Quality of treatment planning","6","0.01"
"21","1",7,2,"Service Quality","6","0.03"
"37","1",7,3,"Workforce development","4","0.02"
"53","1",7,4,"Quality of patient/servicerelationship","4","0.01"
"69","1",7,5,"Pressure on services","3","0"
"10","15",6,1,"Control and regularityof substance use","10","0.1"
"26","15",6,2,"Continueduse of drugs","7","0.04"
"42","15",6,3,"Drug tolerance","4","0.02"
"58","15",6,4,"Medication","3","0.01"
"74","15",6,5,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"9","14",6,1,"Initiation of drug use","8","0.04"
"25","14",6,2,"Physical health","8","0.03"
"41","14",6,3,"Drug use as coping mechanism","4","0.02"
"57","14",6,4,"Age","4","0.01"
"73","14",6,5,"Frailty","3","0"
"8","6",6,1,"Criminalisationof drugs","12","0.11"
"24","6",6,2,"Availability of drugs","7","0.03"
"40","6",6,3,"Cost of drugs","3","0"
"56","6",6,4,"Profit in illicit drugs trade","3","0"
"72","6",6,5,"Exploitation ","2","0.01"
"13","16",5,1,"Feeling safe","6","0.04"
"29","16",5,2,"Homelessness","6","0.03"
"45","16",5,3,"Housing Policy","3","0.01"
"61","16",5,4,"Quality of housing","3","0"
"77","16",5,5,"Risk ofcrime victimisation","3","0"
"12","11",5,1,"Drug related death","7","0.03"
"28","11",5,2,"Knowledge of drugs and risk among general public","4","0.03"
"44","11",5,3,"Alarm raising","4","0.01"
"60","11",5,4,"Life-saving activity","3","0.01"
"76","11",5,5,"Near fatal overdose","2","0"
"11","4",5,1,"Social inclusion","5","0.02"
"27","4",5,2,"Public versus private drug taking","5","0.02"
"43","4",5,3,"Quality of life","3","0"
"59","4",5,4,"Hiding substance use from others","3","0.01"
"75","4",5,5,"Positive self  presentation of PWUD","2","0"
"15","8",4,1,"Poverty","14","0.12"
"31","8",4,2,"Contact with criminaljustice system","9","0.04"
"47","8",4,3,"Traumatising experiences","6","0.01"
"63","8",4,4,"Social Security Policy","2","0"
"79","8",4,5,"NA","NA","NA"
"14","3",4,1,"Positive future aspirations","11","0.09"
"30","3",4,2,"Internalised stigma","4","0.02"
"46","3",4,3,"Employment opportunities","3","0"
"62","3",4,4,"Self worth","3","0"
"78","3",4,5,"NA","NA","NA"
"16","13",3,1,"Mental health and wellbeing","17","0.17"
"32","13",3,2,"Heart & lung health","4","0.01"
"48","13",3,3,"Sedatives","3","0"
"64","13",3,4,"NA","NA","NA"
"80","13",3,5,"NA","NA","NA"
