"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","47",37,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"123","47",37,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"245","47",37,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"367","47",37,4,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"489","47",37,5,"T432_POISONING.BY.OTHER.AND.UNSPECIFIED.ANTIDEPRESSANTS","8","0.02"
"2","50",30,1,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"124","50",30,2,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"246","50",30,3,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"368","50",30,4,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"490","50",30,5,"Y044_ASSAULT.BY.BODILY.FORCE.IN.ROAD","9","0.01"
"4","28",29,1,"op_diazepam","9","0.02"
"126","28",29,2,"td_diazepam","9","0.02"
"248","28",29,3,"td_nordiazepam","8","0.01"
"370","28",29,4,"td_dihydrocodeine","7","0.01"
"492","28",29,5,"DIAZEPAM_TAB.5MG","7","0.02"
"3","4",29,1,"chnd_mental_health_services","7","0.02"
"125","4",29,2,"OLANZAPINE_TAB.10MG","7","0.01"
"247","4",29,3,"pc_anxiety","6","0.01"
"369","4",29,4,"pc_bi_polar_disorder","6","0.01"
"491","4",29,5,"td_olanzapine","6","0.01"
"6","65",27,1,"ASPIRIN.DISPER_TAB.75MG","8","0.01"
"128","65",27,2,"CLOPIDOGREL_TAB.75MG","6","0.02"
"250","65",27,3,"GLYCERYL.TRINIT_SUBLING.SPY.400MCG.180D.","6","0.02"
"372","65",27,4,"I259_CHRONIC.ISCHAEMIC.HEART.DISEASE..UNSPECIFIED","5","0"
"494","65",27,5,"GLYCERYL.TRINIT_A.SPY.400MCG.200D.CFF","5","0"
"5","52",27,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","14","0.02"
"127","52",27,2,"X789_INTENT.SELF.HARM.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","9","0.02"
"249","52",27,3,"S610_OPEN.WOUND.OF.FINGER.S..WITHOUT.DAMAGE.TO.NAIL","6","0.01"
"371","52",27,4,"S519_OPEN.WOUND.OF.FOREARM..PART.UNSPECIFIED","5","0.01"
"493","52",27,5,"S619_OPEN.WOUND.OF.WRIST.AND.HAND..PART.UNSPECIFIED","5","0"
"7","66",26,1,"FLUCLOX.SOD_CAP.500MG","7","0.02"
"129","66",26,2,"PROPRANOLOL.HCL_CAP.80MG.M.R","7","0.02"
"251","66",26,3,"SAVLON_ANTIS.CRM","5","0.01"
"373","66",26,4,"PHENOXYMETHYLPENICILLIN.POT_TAB.250MG","5","0.01"
"495","66",26,5,"METRONIDAZOLE_TAB.400MG","4","0.01"
"8","31",25,1,"R11X_NAUSEA.AND.VOMITING","7","0.01"
"130","31",25,2,"T810_HAEMORRHAGE.AND.HAEMATOMA.COMPLICATING.A.PROCEDURE.NEC","6","0.01"
"252","31",25,3,"R104_OTHER.AND.UNSPECIFIED.ABDOMINAL.PAIN","5","0.01"
"374","31",25,4,"T814_INFECTION.FOLLOWING.A.PROCEDURE..NOT.ELSEWHERE.CLASSIFIED","4","0"
"496","31",25,5,"Y838_ABNORMAL.REACTION.TO.OR.LATER.COMPLICATION.OF.OTHER.SURGICAL.PROCEDURES","3","0"
"10","63",24,1,"FERR.SULF_TAB.200MG","6","0.01"
"132","63",24,2,"I849_UNSPECIFIED.HAEMORRHOIDS.WITHOUT.COMPLICATION","5","0.01"
"254","63",24,3,"D509_IRON.DEFICIENCY.ANAEMIA..UNSPECIFIED","5","0.02"
"376","63",24,4,"FERR.FUMAR_TAB.210MG","5","0.01"
"498","63",24,5,"FOLIC.ACID_TAB.5MG","4","0.01"
"9","18",24,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"131","18",24,2,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
"253","18",24,3,"L022_CUTANEOUS.ABSCESS..FURUNCLE.AND.CARBUNCLE.OF.TRUNK","7","0.01"
"375","18",24,4,"M7986_OTHER.SPECIFIED.SOFT.TISSUE.DISORDERS..LOWER.LEG.","6","0.01"
"497","18",24,5,"mc_dvt","5","0.01"
"11","26",23,1,"SALBUTAMOL_INHA.100MCG..200.D..CFF","13","0.04"
"133","26",23,2,"CLENIL.MODULITE_INHA.100MCG..200D.","6","0"
"255","26",23,3,"J459_ASTHMA..UNSPECIFIED","5","0"
"377","26",23,4,"SERETIDE.125_EVOHALER.125MCG.25MCG.120D.","5","0.01"
"499","26",23,5,"MUCODYNE_CAP.375MG","5","0.01"
"15","81",22,1,"FLUCONAZOLE_CAP.150MG","7","0.01"
"137","81",22,2,"CLOTRIMAZOLE_PESS.500MG","7","0.02"
"259","81",22,3,"LOPERAMIDE.HCL_CAP.2MG","6","0.02"
"381","81",22,4,"CLOTRIMAZOLE_CRM.1.","5","0.01"
"503","81",22,5,"HEDRIN_LOT.4.","4","0"
"14","56",22,1,"J440_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.LOWER.RESP.INFECTION","7","0.02"
"136","56",22,2,"TIOTROPIUM_PDR.FOR.INH.CAP.18MCG","6","0.01"
"258","56",22,3,"J449_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE..UNSPECIFIED","5","0.01"
"380","56",22,4,"SALBUTAMOL_INH.SOLN.2.5MG.2.5ML.UD","5","0"
"502","56",22,5,"J441_CHRONIC.OBSTRUCTIVE.PULMONARY.DISEASE.WITH.ACUTE.EXACERBATION..UNSPECIFIED","4","0.01"
"13","35",22,1,"PREGABALIN_CAP.150MG","6","0.01"
"135","35",22,2,"DULOXETINE.HCL_CAP.G.R.60MG","4","0.01"
"257","35",22,3,"LYRICA_CAP.150MG","4","0.01"
"379","35",22,4,"LYRICA_CAP.300MG","4","0"
"501","35",22,5,"OXYNORM_CAP.10MG","4","0"
"12","11",22,1,"lw_own_home","14","0.01"
"134","11",22,2,"cp_methadone","13","0.03"
"256","11",22,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"378","11",22,4,"td_etizolam","11","0.01"
"500","11",22,5,"pdu_others_home","10","0.01"
"21","49",21,1,"ENSURE.PLUS_MILKSHAKE.STYLE.LIQ.10.FLAV.","9","0.03"
"143","49",21,2,"CHLORAMPHEN_EYE.DPS.0.5.","5","0.01"
"265","49",21,3,"HYPROMELLOSE_EYE.DPS.0.3.","5","0.01"
"387","49",21,4,"ENSURE.PLUS_TUBE.FEED.LIQ.VANILLA","4","0"
"509","49",21,5,"VISCOTEARS_LIQ.GEL.2MG.G","4","0.01"
"20","36",21,1,"SIMPLE_LINCT.S.F","7","0.01"
"142","36",21,2,"DRESSIT.STER.DRESS.PACK","5","0.01"
"264","36",21,3,"MICROPORE.2.5CM.X.5M.SURG.ADH.TAPE.PERM.NON.WOV.SYN","4","0"
"386","36",21,4,"TRAZODONE.HCL_CAP.50MG","4","0"
"508","36",21,5,"DIFFLAM_P.SPY.0.15..30ML","4","0.01"
"19","9",21,1,"idu_heroin","11","0.02"
"141","9",21,2,"idu_diazepam_non_prescribed","10","0.01"
"263","9",21,3,"cha_statutory_addiction_service","9","0.01"
"385","9",21,4,"idu_dihydrocodeine","8","0.01"
"507","9",21,5,"idu_cannabis","7","0"
"18","7",21,1,"THIAMINE.HCL_TAB.100MG","11","0.07"
"140","7",21,2,"chnd_alcohol_services","8","0.01"
"262","7",21,3,"aa_vitamin_supplements","7","0.02"
"384","7",21,4,"VIT.B.CO.STRONG_TAB","6","0.03"
"506","7",21,5,"CHLORDIAZEPOX.HCL_CAP.10MG","6","0.01"
"17","5",21,1,"cha_gp","9","0.02"
"139","5",21,2,"cha_a_e","8","0.01"
"261","5",21,3,"cha_psychiatric_services","7","0.01"
"383","5",21,4,"cha_social_work_services","6","0.01"
"505","5",21,5,"aa_inpatient_detoxification_and_residential_community_rehabilitation","5","0"
"16","2",21,1,"lw_homeless_accomodation","11","0"
"138","2",21,2,"lw_supported_accomodation","10","0"
"260","2",21,3,"lww_with_spouse_partner","10","0"
