"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","24",77,1,"X999_ASSAULT.BY.SHARP.OBJECT.IN.UNSPECIFIED.PLACE","14","0.02"
"94","24",77,2,"S099_UNSPECIFIED.INJURY.OF.HEAD","13","0.02"
"187","24",77,3,"Y049_ASSAULT.BY.BODILY.FORCE.IN.UNSPECIFIED.PLACE","12","0.02"
"280","24",77,4,"X599_EXPOSURE.TO.UNSPECIFIED.FACTOR.IN.UNSPECIFIED.PLACE","10","0.01"
"373","24",77,5,"Y009_ASSAULT.BY.BLUNT.OBJECT.IN.UNSPECIFIED.PLACE","10","0.01"
"2","8",62,1,"op_diazepam","9","0.02"
"95","8",62,2,"td_diazepam","9","0.02"
"188","8",62,3,"GABAPENTIN_CAP.300MG","9","0.02"
"281","8",62,4,"op_mirtazapine","8","0.01"
"374","8",62,5,"td_gabapentin","8","0.01"
"3","35",56,1,"X619_SELF.POISON.BY.ANTIEPILEP.ANTIPARK.PSYCHOTROP.DRUGS..IN.UNSPECIFIED.PLACE","12","0.03"
"96","35",56,2,"X610_INTENT.SELF.POISONING.BY.ANTIEPILEP.ANTIPARKISM..PSYCHOTROP.DRUG.AT.HOME","11","0.03"
"189","35",56,3,"T424_POISONING.BY.BENZODIAZEPINES","10","0.01"
"282","35",56,4,"T401_POISONING.BY.HEROIN","9","0.03"
"375","35",56,5,"T393_POISONING.BY.OTHER.NONSTEROIDAL.ANTI.INFLAMMATORY.DRUGS..NSAID.","8","0.02"
"4","12",54,1,"I802_PHLEBITIS.AND.THROMBOPHLEBITIS.OF.OTHER.DEEP.VESSELS.OF.LOWER.EXTREMITIES","12","0.06"
"97","12",54,2,"mc_hepatitis_c","10","0.01"
"190","12",54,3,"W279_CONTACT.WITH.NONPOWERED.HAND.TOOL.IN.UNSPECIFIED.PLACE","9","0.03"
"283","12",54,4,"Z867_PERSONAL.HISTORY.OF.DISEASES.OF.THE.CIRCULATORY.SYSTEM","9","0.03"
"376","12",54,5,"F112_MENTAL.AND.BEHAVIOURAL.DISORDERS.DUE.TO.DEPENDENT.USE.OF.OPIOIDS","8","0.06"
"5","2",43,1,"lw_own_home","14","0.01"
"98","2",43,2,"cp_methadone","13","0.03"
"191","2",43,3,"cp_not_currently_prescribed_a_substitute_drug","13","0.01"
"284","2",43,4,"lw_homeless_accomodation","11","0"
"377","2",43,5,"td_etizolam","11","0.01"
"7","21",41,1,"CHLORHEX.GLUCON_MTHWSH.0.2.","7","0.02"
"100","21",41,2,"J22X_UNSPECIFIED.ACUTE.LOWER.RESPIRATORY.INFECTION","6","0.02"
"193","21",41,3,"CITALOPRAM.HYDROB_TAB.10MG","6","0.01"
"286","21",41,4,"CITALOPRAM.HYDROB_TAB.20MG","6","0.01"
"379","21",41,5,"MICONAZOLE_OROMUCOSAL.GEL.20MG.G.S.F","5","0.01"
"6","4",41,1,"chnd_mental_health_services","7","0.02"
"99","4",41,2,"OLANZAPINE_TAB.10MG","7","0.01"
"192","4",41,3,"PROPRANOLOL.HCL_CAP.80MG.M.R","7","0.02"
"285","4",41,4,"pc_anxiety","6","0.01"
"378","4",41,5,"pc_bi_polar_disorder","6","0.01"
"9","31",38,1,"K210_GASTRO.OESOPHAGEAL.REFLUX.DISEASE.WITH.OESOPHAGITIS","10","0.02"
"102","31",38,2,"FERR.SULF_TAB.200MG","6","0.01"
"195","31",38,3,"K20X_OESOPHAGITIS","5","0.01"
"288","31",38,4,"D509_IRON.DEFICIENCY.ANAEMIA..UNSPECIFIED","5","0.02"
"381","31",38,5,"FERR.FUMAR_TAB.210MG","5","0.01"
"8","15",38,1,"N179_ACUTE.RENAL.FAILURE..UNSPECIFIED","8","0.02"
"101","15",38,2,"K703_ALCOHOLIC.CIRRHOSIS.OF.LIVER","8","0.02"
"194","15",38,3,"K766_PORTAL.HYPERTENSION","6","0.02"
"287","15",38,4,"LOPERAMIDE.HCL_CAP.2MG","6","0.02"
"380","15",38,5,"ORLISTAT_CAP.120MG","5","0.01"
"10","60",35,1,"CETIRIZINE.HCL_TAB.10MG","9","0.01"
"103","60",35,2,"MOMETASONE.FUR_AQ.N.SPY.50MCG..140.D.","8","0.02"
"196","60",35,3,"NICORETTE.INVISI_PATCH.25MG.16HRS","4","0.01"
"289","60",35,4,"MOMETASONE.FUR_CRM.0.1.","4","0.01"
"382","60",35,5,"NICOTINELL.TTS.30_PATCH.21MG.24HRS","4","0.01"
"13","27",33,1,"PREGABALIN_CAP.150MG","6","0.01"
