"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","7",10,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"19","7",10,2,"Poor treatment of PWUD","4","0.01"
"37","7",10,3,"Occurrence of stigmatising language and behaviour","4","0"
"55","7",10,4,"Negative public perceptionsof PWUD","3","0"
"73","7",10,5,"Value placed on peer workers","3","0.01"
"3","11",8,1,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"21","11",8,2,"Attitude to risk","6","0.03"
"39","11",8,3,"Risk of harm occurring while using drugs","5","0.02"
"57","11",8,4,"Poly drug use","5","0.02"
"75","11",8,5,"Education on substance use and associated harms","3","0"
"2","2",8,1,"Attending services","9","0.05"
"20","2",8,2,"Retention in services","6","0.02"
"38","2",8,3,"Collaboration between services","5","0.01"
"56","2",8,4,"Missed appointments","5","0.01"
"74","2",8,5,"Treatment expectations","4","0.01"
"4","14",7,1,"Peer relationships","6","0.02"
"22","14",7,2,"Drug type","6","0.03"
"40","14",7,3,"Exposure to drugs","5","0.03"
"58","14",7,4,"Lone versus groupsubstance use","4","0.02"
"76","14",7,5,"Drug toxicity","3","0.01"
"7","17",6,1,"Control and regularityof substance use","10","0.1"
"25","17",6,2,"Continueduse of drugs","7","0.04"
"43","17",6,3,"Drug tolerance","4","0.02"
"61","17",6,4,"Medication","3","0.01"
"79","17",6,5,"Drug use as functionalto person's life, e.g. self-medication","3","0"
"6","16",6,1,"Initiation of drug use","8","0.04"
"24","16",6,2,"Physical health","8","0.03"
"42","16",6,3,"Drug use as coping mechanism","4","0.02"
"60","16",6,4,"Age","4","0.01"
"78","16",6,5,"Frailty","3","0"
"5","6",6,1,"Criminalisationof drugs","12","0.11"
"23","6",6,2,"Availability of drugs","7","0.03"
"41","6",6,3,"Cost of drugs","3","0"
"59","6",6,4,"Profit in illicit drugs trade","3","0"
"77","6",6,5,"Exploitation ","2","0.01"
"13","18",5,1,"Feeling safe","6","0.04"
"31","18",5,2,"Homelessness","6","0.03"
"49","18",5,3,"Housing Policy","3","0.01"
"67","18",5,4,"Quality of housing","3","0"
"85","18",5,5,"Risk ofcrime victimisation","3","0"
"12","12",5,1,"Drug related death","7","0.03"
"30","12",5,2,"Knowledge of drugs and risk among general public","4","0.03"
"48","12",5,3,"Alarm raising","4","0.01"
"66","12",5,4,"Life-saving activity","3","0.01"
"84","12",5,5,"Near fatal overdose","2","0"
"11","10",5,1,"Trusting community relationships","12","0.15"
"29","10",5,2,"Community hubs","1","0"
"47","10",5,3,"Recovery cafes","1","0"
"65","10",5,4,"Warm spaces","1","0"
"83","10",5,5,"Inclusive community activities","1","0"
"10","5",5,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"28","5",5,2,"Availability of services","5","0.02"
"46","5",5,3,"Harm reductioninterventions","4","0.01"
"64","5",5,4,"ADP funding","3","0"
"82","5",5,5,"International evidence","1","0"
"9","4",5,1,"Social inclusion","5","0.02"
"27","4",5,2,"Public versus private drug taking","5","0.02"
"45","4",5,3,"Quality of life","3","0"
"63","4",5,4,"Hiding substance use from others","3","0.01"
"81","4",5,5,"Positive self  presentation of PWUD","2","0"
"8","1",5,1,"Service Quality","6","0.03"
"26","1",5,2,"Workforce development","4","0.02"
"44","1",5,3,"Quality of patient/servicerelationship","4","0.01"
"62","1",5,4,"Pressure on services","3","0"
"80","1",5,5,"Level of localhealth need","2","0"
"15","8",4,1,"Poverty","14","0.12"
"33","8",4,2,"Contact with criminaljustice system","9","0.04"
"51","8",4,3,"Traumatising experiences","6","0.01"
"69","8",4,4,"Social Security Policy","2","0"
"87","8",4,5,"NA","NA","NA"
"14","3",4,1,"Positive future aspirations","11","0.09"
"32","3",4,2,"Internalised stigma","4","0.02"
"50","3",4,3,"Employment opportunities","3","0"
"68","3",4,4,"Self worth","3","0"
"86","3",4,5,"NA","NA","NA"
"18","15",3,1,"Mental health and wellbeing","17","0.17"
"36","15",3,2,"Heart & lung health","4","0.01"
"54","15",3,3,"Sedatives","3","0"
"72","15",3,4,"NA","NA","NA"
"90","15",3,5,"NA","NA","NA"
"17","13",3,1,"Trusting family relationships","7","0.02"
"35","13",3,2,"Recovery capital","5","0.02"
"53","13",3,3,"Practical support","3","0"
"71","13",3,4,"NA","NA","NA"
"89","13",3,5,"NA","NA","NA"
"16","9",3,1,"Quality of treatment planning","6","0.01"
"34","9",3,2,"Relative value of professional versus peer evidence","3","0.01"
"52","9",3,3,"Lived experience representation in policy","3","0"
"70","9",3,4,"NA","NA","NA"
"88","9",3,5,"NA","NA","NA"
