"","Subsystem","Number of factors","variable","factor","degree","betweenness"
"1","7",23,1,"Mental health and wellbeing","17","0.17"
"9","7",23,2,"Trusting community relationships","12","0.15"
"17","7",23,3,"Control and regularityof substance use","10","0.1"
"25","7",23,4,"Initiation of drug use","8","0.04"
"33","7",23,5,"Physical health","8","0.03"
"2","1",16,1,"Prevalence of stigmatisingnorms around drugs","18","0.26"
"10","1",16,2,"Quality of treatment planning","6","0.01"
"18","1",16,3,"Service Quality","6","0.03"
"26","1",16,4,"Workforce development","4","0.02"
"34","1",16,5,"Poor treatment of PWUD","4","0.01"
"3","4",13,1,"Peer relationships","6","0.02"
"11","4",13,2,"Feeling safe","6","0.04"
"19","4",13,3,"Homelessness","6","0.03"
"27","4",13,4,"Public versus private drug taking","5","0.02"
"35","4",13,5,"Knowledge of drugs and risk among general public","4","0.03"
"4","8",12,1,"Drug related death","7","0.03"
"12","8",12,2,"Knowledge of drugs and risk among people who use drugs","6","0.06"
"20","8",12,3,"Attitude to risk","6","0.03"
"28","8",12,4,"Risk of harm occurring while using drugs","5","0.02"
"36","8",12,5,"Poly drug use","5","0.02"
"5","3",10,1,"Poverty","14","0.12"
"13","3",10,2,"Positive future aspirations","11","0.09"
"21","3",10,3,"Contact with criminaljustice system","9","0.04"
"29","3",10,4,"Traumatising experiences","6","0.01"
"37","3",10,5,"Social inclusion","5","0.02"
"6","6",9,1,"Criminalisationof drugs","12","0.11"
"14","6",9,2,"Availability of drugs","7","0.03"
"22","6",9,3,"Cost of drugs","3","0"
"30","6",9,4,"Profit in illicit drugs trade","3","0"
"38","6",9,5,"Drug toxicity","3","0.01"
"7","2",8,1,"Attending services","9","0.05"
"15","2",8,2,"Retention in services","6","0.02"
"23","2",8,3,"Collaboration between services","5","0.01"
"31","2",8,4,"Missed appointments","5","0.01"
"39","2",8,5,"Treatment expectations","4","0.01"
"8","5",7,1,"Policy making environment: health focussed vs criminal justice","11","0.09"
"16","5",7,2,"Availability of services","5","0.02"
"24","5",7,3,"Harm reductioninterventions","4","0.01"
"32","5",7,4,"Relative value of professional versus peer evidence","3","0.01"
"40","5",7,5,"Lived experience representation in policy","3","0"
